Pessoa;Empr.;Bco;Agência;Espécie;Título;Série;Parc;Depositário;Dt. Emissão;Dt. Movimento;Vencimento Programado;Prazo Efetivo;SC;SJ;Dias de Atraso;DV;Multa;Juros;% Desc. Financeiro;% Desc. Acordo;Desconto;Taxa Adm.;Vlr Original;Valor Aberto;Valor Líquido;A;P;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;17;900;CARTEIRA;CARDEB;2025265;017;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;6088,94;6088,94;6088,94;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;18;900;CARTEIRA;CARDEB;2020015;018;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;31561,12;31561,12;31561,12;;;;
7404 - PIX SICREDI;1;900;CARTEIRA;CARDIG;201555;01;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;7305,49;7305,49;7305,49;;;;
7404 - PIX SICREDI;2;900;CARTEIRA;CARDIG;20215;02;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;25548,80;25548,80;25548,80;;;;
7404 - PIX SICREDI;3;900;CARTEIRA;CARDIG;202226;03;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;46477,80;46477,80;46477,80;;;;
7404 - PIX SICREDI;4;900;CARTEIRA;CARDIG;202226;004;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;12698,60;12698,60;12698,60;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;3;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;16/02/2026;02/02/2026;1;L;N;77;15;0,00;0,00;0,00;0,00;0,00;111,65;16181,80;16181,80;16070,15;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;3;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;16/02/2026;02/02/2026;1;L;N;77;15;0,00;0,00;0,00;0,00;0,00;33,92;5217,85;5217,85;5183,93;;;;
6432 - BANRISUL SERVICOS LTDA;3;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;16/02/2026;02/02/2026;1;L;N;77;15;0,00;0,00;0,00;0,00;0,00;71,80;7179,96;7179,96;7108,16;;;;
7404 - PIX SICREDI;5;900;CARTEIRA;CARDIG;2025565;005;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;16097,50;16097,50;16097,50;;;;
7404 - PIX SICREDI;6;900;CARTEIRA;CARDIG;202155;06;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;31430,70;31430,70;31430,70;;;;
7404 - PIX SICREDI;7;900;CARTEIRA;CARDIG;2020155;07;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;22690,10;22690,10;22690,10;;;;
7404 - PIX SICREDI;8;900;CARTEIRA;CARDIG;2025152;08;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;18785,00;18785,00;18785,00;;;;
7404 - PIX SICREDI;11;900;CARTEIRA;CARDIG;2051555;011;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;25440,90;25440,90;25440,90;;;;
7404 - PIX SICREDI;12;900;CARTEIRA;CARDIG;20124;012;1;1 - Contas a Receber;02/02/2026;02/02/2026;02/02/2026;0;L;N;77;0;0,00;0,00;0,00;0,00;0,00;0,00;33440,70;33440,70;33440,70;;;;
7404 - PIX SICREDI;14;900;CARTEIRA;CARDIG;20226;014;1;1 - Contas a Receber;02/02/2026;02/02/2026;02/02/2026;0;L;N;77;0;0,00;0,00;0,00;0,00;0,00;0,00;31520,70;31520,70;31520,70;;;;
7404 - PIX SICREDI;17;900;CARTEIRA;CARDIG;2020125;017;1;1 - Contas a Receber;02/02/2026;02/02/2026;02/02/2026;0;L;N;77;0;0,00;0,00;0,00;0,00;0,00;0,00;7837,48;7837,48;7837,48;;;;
7404 - PIX SICREDI;18;900;CARTEIRA;CARDIG;202155;018;1;1 - Contas a Receber;02/02/2026;02/02/2026;02/02/2026;0;L;N;77;0;0,00;0,00;0,00;0,00;0,00;0,00;25951,20;25951,20;25951,20;;;;
6432 - BANRISUL SERVICOS LTDA;2;900;CARTEIRA;CARDEB;3101255;002;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;5580,21;5580,21;5580,21;;;;
6432 - BANRISUL SERVICOS LTDA;3;900;CARTEIRA;CARDEB;30121255;03;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;30390,86;30390,86;30390,86;;;;
6432 - BANRISUL SERVICOS LTDA;1;900;CARTEIRA;CARDEB;3101256;001;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;331,89;331,89;331,89;;;;
6432 - BANRISUL SERVICOS LTDA;5;900;CARTEIRA;CARDEB;310125;01;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;4430,76;4430,76;4430,76;;;;
6432 - BANRISUL SERVICOS LTDA;8;900;CARTEIRA;CARDEB;3101255;001;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;7421,26;7421,26;7421,26;;;;
6432 - BANRISUL SERVICOS LTDA;7;900;CARTEIRA;CARDEB;3101265;001;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;4914,59;4914,59;4914,59;;;;
6432 - BANRISUL SERVICOS LTDA;13;900;CARTEIRA;CARDEB;3101255;01;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;9993,77;9993,77;9993,77;;;;
6432 - BANRISUL SERVICOS LTDA;14;900;CARTEIRA;CARDEB;310125;01;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;8762,41;8762,41;8762,41;;;;
6432 - BANRISUL SERVICOS LTDA;17;900;CARTEIRA;CARDEB;3101265;01;1;1 - Contas a Receber;02/02/2026;02/02/2026;02/02/2026;0;L;N;77;0;0,00;0,00;0,00;0,00;0,00;0,00;3579,50;3579,50;3579,50;;;;
6432 - BANRISUL SERVICOS LTDA;2;900;CARTEIRA;CARDEB;2021565;01;1;1 - Contas a Receber;02/02/2026;02/02/2026;02/02/2026;0;L;N;77;0;0,00;0,00;0,00;0,00;0,00;0,00;13874,74;13874,74;13874,74;;;;
6432 - BANRISUL SERVICOS LTDA;1;900;CARTEIRA;CARDEB;202261;01;1;1 - Contas a Receber;02/02/2026;02/02/2026;02/02/2026;0;L;N;77;0;0,00;0,00;0,00;0,00;0,00;0,00;413,79;413,79;413,79;;;;
6432 - BANRISUL SERVICOS LTDA;3;900;CARTEIRA;CARDEB;20226;;1;1 - Contas a Receber;02/02/2026;02/02/2026;02/02/2026;0;L;N;77;0;0,00;0,00;0,00;0,00;0,00;0,00;38740,51;38740,51;38740,51;;;;
6432 - BANRISUL SERVICOS LTDA;4;900;CARTEIRA;CARDEB;20226;01;1;1 - Contas a Receber;02/02/2026;02/02/2026;02/02/2026;0;L;N;77;0;0,00;0,00;0,00;0,00;0,00;0,00;10513,99;10513,99;10513,99;;;;
6432 - BANRISUL SERVICOS LTDA;5;900;CARTEIRA;CARDEB;20226;01;1;1 - Contas a Receber;02/02/2026;02/02/2026;02/02/2026;0;L;N;77;0;0,00;0,00;0,00;0,00;0,00;0,00;6203,62;6203,62;6203,62;;;;
