DEPARTAMENTO;CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMPRESA;STATUS;EMBL_TRANSFERENCIA;ESTOQUE;PEDIDOS_PENDENTES;ESTOQUE_MINIMO;DATA_CADASTRO_PRODUTO;DIAS_DESDE_CADASTRO
PERECIVEIS;38041;TIRINHAS AURORA FGO 900G;4;ATIVO;1;0;0;0;11/04/2026;30
PERECIVEIS;38041;TIRINHAS AURORA FGO 900G;5;ATIVO;1;0;0;0;11/04/2026;30
PERECIVEIS;38041;TIRINHAS AURORA FGO 900G;6;ATIVO;1;0;0;0;11/04/2026;30
PERECIVEIS;38041;TIRINHAS AURORA FGO 900G;7;ATIVO;1;0;0;0;11/04/2026;30
PERECIVEIS;38041;TIRINHAS AURORA FGO 900G;8;ATIVO;1;-8;8;0;11/04/2026;30
PERECIVEIS;38041;TIRINHAS AURORA FGO 900G;11;ATIVO;1;0;0;0;11/04/2026;30
PERECIVEIS;38041;TIRINHAS AURORA FGO 900G;12;ATIVO;1;0;0;0;11/04/2026;30
PERECIVEIS;38041;TIRINHAS AURORA FGO 900G;13;ATIVO;1;0;0;0;11/04/2026;30
PERECIVEIS;38041;TIRINHAS AURORA FGO 900G;14;ATIVO;1;0;0;0;11/04/2026;30
PERECIVEIS;38041;TIRINHAS AURORA FGO 900G;15;ATIVO;1;0;0;0;11/04/2026;30
PERECIVEIS;38041;TIRINHAS AURORA FGO 900G;16;ATIVO;1;0;0;0;11/04/2026;30
PERECIVEIS;38041;TIRINHAS AURORA FGO 900G;17;ATIVO;1;0;0;0;11/04/2026;30
PERECIVEIS;38041;TIRINHAS AURORA FGO 900G;18;ATIVO;1;0;0;0;11/04/2026;30
PERECIVEIS;38041;TIRINHAS AURORA FGO 900G;50;ATIVO;1;0;0;0;11/04/2026;30
PERECIVEIS;38058;TRIPA SUINA ANZILIERO SALG 32X35;1;ATIVO;1;0;0;0;13/04/2026;28
PERECIVEIS;38058;TRIPA SUINA ANZILIERO SALG 32X35;2;ATIVO;1;0;0;0;13/04/2026;28
PERECIVEIS;38058;TRIPA SUINA ANZILIERO SALG 32X35;3;ATIVO;1;0;0;0;13/04/2026;28
PERECIVEIS;38058;TRIPA SUINA ANZILIERO SALG 32X35;4;ATIVO;1;0;0;0;13/04/2026;28
PERECIVEIS;38058;TRIPA SUINA ANZILIERO SALG 32X35;5;ATIVO;1;0;0;0;13/04/2026;28
PERECIVEIS;38058;TRIPA SUINA ANZILIERO SALG 32X35;6;ATIVO;1;0;0;0;13/04/2026;28
PERECIVEIS;38058;TRIPA SUINA ANZILIERO SALG 32X35;7;ATIVO;1;0;0;0;13/04/2026;28
PERECIVEIS;38058;TRIPA SUINA ANZILIERO SALG 32X35;8;ATIVO;1;0;0;0;13/04/2026;28
PERECIVEIS;38058;TRIPA SUINA ANZILIERO SALG 32X35;11;ATIVO;1;0;0;0;13/04/2026;28
PERECIVEIS;38058;TRIPA SUINA ANZILIERO SALG 32X35;12;ATIVO;1;0;0;0;13/04/2026;28
PERECIVEIS;38058;TRIPA SUINA ANZILIERO SALG 32X35;13;ATIVO;1;0;0;0;13/04/2026;28
PERECIVEIS;38058;TRIPA SUINA ANZILIERO SALG 32X35;14;ATIVO;1;0;0;0;13/04/2026;28
PERECIVEIS;38058;TRIPA SUINA ANZILIERO SALG 32X35;15;ATIVO;1;0;0;0;13/04/2026;28
PERECIVEIS;38058;TRIPA SUINA ANZILIERO SALG 32X35;16;ATIVO;1;0;0;0;13/04/2026;28
PERECIVEIS;38058;TRIPA SUINA ANZILIERO SALG 32X35;17;ATIVO;1;0;0;0;13/04/2026;28
PERECIVEIS;38058;TRIPA SUINA ANZILIERO SALG 32X35;18;ATIVO;1;0;0;0;13/04/2026;28
PERECIVEIS;38058;TRIPA SUINA ANZILIERO SALG 32X35;50;ATIVO;1;0;0;0;13/04/2026;28
PERFUMARIA_E_LIMPEZA;38400;BOM AR ELET LIQ FRAMB JAS RF 16ML;1;ATIVO;12;0;0;0;09/05/2026;2
PERFUMARIA_E_LIMPEZA;38400;BOM AR ELET LIQ FRAMB JAS RF 16ML;2;ATIVO;12;0;0;0;09/05/2026;2
PERFUMARIA_E_LIMPEZA;38400;BOM AR ELET LIQ FRAMB JAS RF 16ML;3;ATIVO;12;0;0;0;09/05/2026;2
PERFUMARIA_E_LIMPEZA;38400;BOM AR ELET LIQ FRAMB JAS RF 16ML;4;ATIVO;12;0;0;0;09/05/2026;2
PERFUMARIA_E_LIMPEZA;38400;BOM AR ELET LIQ FRAMB JAS RF 16ML;5;ATIVO;12;0;0;0;09/05/2026;2
