CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMBALAGEM_VENDA;QTD_LOJAS_COM_CUSTO;PRECO_VENDA_NORMAL;PRECO_VENDA_PRATICADO;CUSTO_NF_BRUTO;CUSTO_IPI;CUSTO_ICMS_ST;CUSTO_DESP_NF;CUSTO_DESP_FORA_NF;CREDITO_ICMS;CREDITO_PIS;CREDITO_COFINS;DESCONTO_FORA_NF;DESCONTO_VERBA;CUSTO_LIQUIDO;ALIQ_ICMS_VENDA;ALIQ_PIS_VENDA;ALIQ_COFINS_VENDA;ALIQ_IMPOSTOS_TOTAL;VALOR_IMPOSTOS_VENDA;PRECO_VENDA_LIQUIDO;LUCRO_VALOR;MARGEM_REALIZADA;MARGEM_OBJETIVA;PRECO_SUGERIDO
20403;MALA VOYAGE ABS 20 CINZA;1;1;169,9;169,9;168,69;0;0;0;0;0;0;0;0;0;168,69;17;1,65;7,6;26,25;44,5988;125,3013;-43,3888;-25,54;28;368,72
20404;MALETA CASINHA COELHO 18X10X10CM;1;1;2,99;2,99;1,17;0;0;0;0;0;0;0;0;0;1,17;17;1,65;7,6;26,25;,7849;2,2051;1,0351;34,62;35;3,02
20405;MALETA COMBAT 5060 PTA;1;1;5,49;5,49;2,81;0;0;0;0;0;0;0;0;0;2,81;17;1,65;7,6;26,25;1,4411;4,0489;1,2389;22,57;35;7,25
20406;MALETA ECONOMICA ARQPLAST;1;5;12,99;12,99;6,71;0;0;0;0;0;0;0;0;0;6,71;17;1,65;7,6;26,25;3,4099;9,5801;2,8701;22,09;35;17,32
20407;MALETA FERRAMENTAS C/BANDEJA;1;4;35,79;35,79;18,45;0;0;0;0;0;0;0;0;0;18,45;17;1,65;7,6;26,25;9,3949;26,3951;7,9451;22,2;35;47,61
20408;MALETA FERRAMENTAS NEW BOX 20000 19;1;2;71,99;71,99;37,16;0;0;0;0;0;0;0;0;0;37,16;17;1,65;7,6;26,25;18,8974;53,0926;15,9326;22,13;35;95,9
20409;MALETA FERRAMENTAS S/BANDEJA;1;1;23,79;23,79;12,25;0;0;0;0;0;0;0;0;0;12,25;17;1,65;7,6;26,25;6,2449;17,5451;5,2951;22,26;35;31,61
20410;MALETA M USO C 2 BANDEJAS;1;1;48,69;48,69;25,08;0;0;0;0;0;0;0;0;0;25,08;17;1,65;7,6;26,25;12,7811;35,9089;10,8289;22,24;35;64,72
20411;MALETA PRIMEIRO SOCORROS C/2 BANDS;1;2;48,69;48,69;25,08;0;0;0;0;0;0;0;0;0;25,08;17;1,65;7,6;26,25;12,7811;35,9089;10,8289;22,24;35;64,72
20412;MALETINHA COELHO 17 5X9 8X8 18,4 CM AZUL;1;4;4,29;4,29;1,98;0;0;0;0;0;0;0;0;0;1,98;17;1,65;7,6;26,25;1,1261;3,1639;1,1839;27,6;35;5,11
20413;MALETINHA COELHO 17 5X9 8X8 18,4 CM ROSA;1;3;4,29;4,29;1,98;0;0;0;0;0;0;0;0;0;1,98;17;1,65;7,6;26,25;1,1261;3,1639;1,1839;27,6;35;5,11
20415;MAMAD CEFISA SIL 240ML;1;13;9,19;9,19;6,2134;0;0;0;0;0;,1025;,4722;0;0;5,3337;0;1,65;7,6;9,25;,8501;8,3399;3,0062;32,71;35;9,57
20421;MAMAD FIONA DESENHOS 120ML ROSA 821730;1;3;22,19;22,19;13,39;0;0;0;0;0;0;0;0;0;13,39;0;1,65;7,6;9,25;2,0526;20,1374;6,7474;30,41;35;24,02
20434;MAMAD LOLLY CLEAN 250ML;1;6;23,89;23,89;14,5908;,7325;2,5875;0;0;0;,1638;,7538;0;0;14,2958;0;1,65;7,6;9,25;2,2098;21,6802;7,3844;30,91;35;25,64
