NUMERONF;SERIENF;EMPRESA;DTAEMISSAO;DTAENTRADA;VLRTOTALNF;VLR_BONIFICADO;SITUACAO_DESC;SITUACAO;SEQNOTAFISCAL;SEQAUXNOTAFISCAL;SEQPESSOA;FORNECEDOR;STATUSCARGA;USUARIORF;NFECHAVEACESSO;CODGERALOPER;CFOP_FORNECEDOR;CFOP_INTERNO;ITENS_CODIGO;ITENS_DESCRICAO;ITENS_QUANTIDADE
2434941;1;003-BAKLIZI;17/04/2026;15/05/2026;2501,73;2501,73;RECEBIDA;I;;164746;15318;15318 - PODAL IND E COM DE ALIMENTOS L;L;;43260493470805000180550010024349411949553212;100;5910;1910;10004;PILHA RAYOVAC AMAR AA PQ 4UN;627
133688;1;007-BAKLIZI;29/04/2026;15/05/2026;433,16;433,16;RECEBIDA;I;;165061;12150;12150 - BRASMART INDUSTRIA DO VESTUARI;L;;42260404011349000180550010001336881061821213;100;6910 / 6949;2910;38362 / 38370 / 38428;KIT 3 MEIAS ESPORT PT BC CZ 39 44 / CONS EXPOSITOR CIA DA MEIA / CONS EXPOSITOR BALCAO P MEIA CALCA;12 / 2 / 2
133686;1;008-BAKLIZI;29/04/2026;15/05/2026;433,16;433,16;RECEBIDA;I;;165337;12150;12150 - BRASMART INDUSTRIA DO VESTUARI;L;;42260404011349000180550010001336861498650814;100;6910 / 6949;2910;38362 / 38370 / 38428;KIT 3 MEIAS ESPORT PT BC CZ 39 44 / CONS EXPOSITOR CIA DA MEIA / CONS EXPOSITOR BALCAO P MEIA CALCA;72 / 2 / 2
1055878;1;018-BAKLIZI;14/05/2026;15/05/2026;640,44;640,44;RECEBIDA;I;;164532;10142;10142 - KASADOCE DISTRIBUIDORA DE ALIM;L;IGORC;43260506153283000198550010010558781339213027;100;5910;1910;19799 / 19800 / 33651;KIT SH CD NOVEX 300ML OLEO ARGAN / KIT SH CD NOVEX 300ML SUPER BABOSAO / KIT SH CD NOVEX 300ML RITUAL DORAMA;12 / 12 / 12
2767676;34;006-BAKLIZI;30/01/2026;16/05/2026;2331,11;2331,11;RECEBIDA;I;;165755;13559;13559 - SOUZA CRUZ SA;L;;43260133009911004711550340027676761893421677;100;5910;1910;9056 / 9075 / 9089;CIG DUNHILL CARLTON BLEND BOX C 10 / CIG KENT PRO RED NO TUBE BOX C 10 / CIG ROTHMANS BLUE BRA BOX C 10;19 / 1 / 1
1056440;1;002-BAKLIZI;15/05/2026;19/05/2026;640,44;640,44;RECEBIDA;I;;167321;10142;10142 - KASADOCE DISTRIBUIDORA DE ALIM;L;;43260506153283000198550010010564401196108263;100;5910;1910;19799 / 19800 / 33651;KIT SH CD NOVEX 300ML OLEO ARGAN / KIT SH CD NOVEX 300ML SUPER BABOSAO / KIT SH CD NOVEX 300ML RITUAL DORAMA;12 / 12 / 12
1056437;1;003-BAKLIZI;15/05/2026;19/05/2026;640,44;640,44;RECEBIDA;I;;167544;10142;10142 - KASADOCE DISTRIBUIDORA DE ALIM;L;;43260506153283000198550010010564371314812202;100;5910;1910;19799 / 19800 / 33651;KIT SH CD NOVEX 300ML OLEO ARGAN / KIT SH CD NOVEX 300ML SUPER BABOSAO / KIT SH CD NOVEX 300ML RITUAL DORAMA;12 / 12 / 12
69497;2;015-CD;13/05/2026;19/05/2026;1595,90;1595,90;RECEBIDA;I;;167103;21894;21894 - ROCHA E FILHOS LTDA;L;;42260578269917000183550020000694971881936080;100;6910;2910;37030 / 37265 / 37266 / 37268;FAROFA ROCHA 250G FARROUPILHA / FAROFA ROCHA 250G BACON / FAROFA ROCHA 250G PICANHA / FAROFA ROCHA 250G TRAD;120 / 120 / 120 / 120
255530;1;014-BAKLIZI;27/02/2026;20/05/2026;1141,53;25,40;RECEBIDA;I;;168500;10649;10649 - CARLOS CANCIAN E CIA LTDA;L;;43260290057415000275550010002555301009152690;290;5405 / 5910;1403;136 / 144 / 169 / 207 / 228 / 260 / 900 / 3955 / 8983 / 37512;CERV HEINEKEN PILSEN GF 600ML / CERV AMSTEL LAGER LT 473ML / CERV HEINEKEN LT 473ML / CERV SCHIN PILSEN LT 473ML / CERV AMSTEL LAGER LN 355ML / CERV HEINEKEN LN 330ML / REFRIG FYS LT 350ML LARANJA / AGUA TONICA FYS LT 350ML / CERV HEINEKEN ZERO LT 269ML / CERV AMSTEL VIBES LT 269ML LIMAO;36 / 12 / 12 / 12 / 24 / 24 / 24 / 24 / 80 / 6
80386;1;015-CD;19/05/2026;20/05/2026;342,42;342,42;RECEBIDA;I;;168522;8243;8243 - LIMPAMANIA INDUSTRIAL EIRELI -;L;;43260507902801000191550010000803861050204809;100;5910;1910;17717 / 17862 / 25105;ESC ANATOMICA LIMPAMANIA / ESC SANIT BRISA S SUPORTE / VASSOURA DONA DA CASA C CABO;12 / 12 / 48
