COD_PONTO_EXTRA;NOME_PONTO_EXTRA;LOJA;COMPRADOR;COD_PRODUTO;DESCRICAO_PRODUTO;MINIMO_PONTO_EXTRA;MAXIMO_PONTO_EXTRA;INICIO_VIGENCIA;FIM_VIGENCIA;STATUS_ITEM_EMP;SITUACAO_VIGENCIA
121;Pontas fixas;14;NICOLAS;178;CERV KAISER LT 473ML;744;1932;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;14;NICOLAS;179;CERV ORIGINAL LT 473ML;1320;1716;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;14;NICOLAS;193;CERV PROVINCIA PILSEN PREM LT 473ML;1320;1716;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;14;NICOLAS;213;CERV SKOL PILSEN LT 473ML;1320;1716;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;14;NICOLAS;10;REFRIG COCA COLA PET 2L;1200;1800;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;17;NICOLAS;48;AGUA MIN FLORESTA PET 500ML C GAS;4032;5232;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;17;NICOLAS;49;AGUA MIN FLORESTA PET 500ML S GAS;4032;5232;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;17;NICOLAS;145;CERV ANTARCTICA SUBZERO LT 473ML;840;1320;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;17;NICOLAS;156;CERV BUDWEISER LT 473ML;1320;2640;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;17;NICOLAS;213;CERV SKOL PILSEN LT 473ML;2640;3432;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;17;NICOLAS;784;REFRIG ANTARCTICA GUARANA PET 2L;320;480;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;17;NICOLAS;790;REFRIG CHARRUA GUARANA PET 2L;600;780;10/06/2026;31/12/2026;A;VIGENTE
