"Código Produto";"Produto";"CGO";"Quantidade";"Valor Bruto";"Valor Liquido"
"34045";"SAND HAVAIANAS KIDS ATHLET BCO AZL 31 32";"800";"1,000";"33,99";"33,99"
"34046";"SAND HAVAIANAS KIDS ATHLET BCO AZL 33 34";"800";"3,000";"101,97";"101,97"
"34047";"SAND HAVAIANAS KIDS ATHLET BCO AZL 35 36";"800";"1,000";"33,99";"33,99"
"34060";"SAND HAVAIANAS KIDS FLORES FLUX RSA 33 34";"800";"1,000";"35,99";"35,99"
"34075";"SAND HAVAIANAS KIDS SLIM PRINC RSA 29 30";"800";"1,000";"55,99";"55,99"
"34073";"SAND HAVAIANAS KIDS SLIM PRINC RSA 31 32";"800";"3,000";"167,97";"167,97"
"34072";"SAND HAVAIANAS KIDS SLIM PRINC RSA 35 36";"800";"1,000";"55,99";"55,99"
"34067";"SAND HAVAIANAS SLIM ANIMALS RSE GLD 37 38";"800";"3,000";"134,97";"134,97"
"34066";"SAND HAVAIANAS SLIM ANIMALS RSE GLD 39 40";"800";"2,000";"89,98";"89,98"
"34087";"SAND HAVAIANAS SLIM BAS SUNSET LAR 37 38";"800";"2,000";"83,98";"83,98"
"34048";"SAND HAVAIANAS SLIM SQUARE CAFE 35 36";"800";"1,000";"48,99";"48,99"
"34049";"SAND HAVAIANAS SLIM SQUARE CAFE 37 38";"800";"1,000";"48,99";"48,99"
"34052";"SAND HAVAIANAS SLIM SQUARE CAN CLAY 37 38";"800";"2,000";"97,98";"97,98"
"34053";"SAND HAVAIANAS SLIM SQUARE CAN CLAY 39 40";"800";"2,000";"97,98";"97,98"
"34055";"SAND HAVAIANAS TIMES GREMIO 37 38";"800";"1,000";"59,99";"59,99"
"34056";"SAND HAVAIANAS TIMES GREMIO 39 40";"800";"1,000";"59,99";"59,99"
"34057";"SAND HAVAIANAS TIMES GREMIO 41 42";"800";"1,000";"59,99";"59,99"
"34058";"SAND HAVAIANAS TIMES GREMIO 43 44";"800";"2,000";"119,98";"119,98"
"34062";"SAND HAVAIANAS TIMES INTER 37 38";"800";"2,000";"119,98";"119,98"
"34063";"SAND HAVAIANAS TIMES INTER 39 40";"800";"1,000";"59,99";"59,99"
"34064";"SAND HAVAIANAS TIMES INTER 41 42";"800";"2,000";"119,98";"119,98"
"34065";"SAND HAVAIANAS TIMES INTER 43 44";"800";"4,000";"239,96";"239,96"
"36213";"SAND HAVAIANAS TOP AMARELO 35 36";"800";"6,000";"191,94";"189,85"
"36215";"SAND HAVAIANAS TOP AMARELO 37 38";"800";"5,000";"159,95";"153,68"
