"Código Produto";"Produto";"Quantidade Disponível"
"1348";"CHOC BATON GAROTO 16G CREME MOR";"232,000"
"1357";"CHOC BATON GAROTO 16G LEITE CREME";"202,000"
"39057";"CHOC BATON GAROTO STICK AVELA 26G";"5,000"
"39058";"CHOC BATON GAROTO STICK TRIPLO CH 26G";"5,000"
"1372";"CHOC CROCANTE GAROTO 25G";"24,000"
"1431";"CHOC KIT KAT 41 5G DARK";"73,000"
"1430";"CHOC KIT KAT 41 5G FINGER AO LEITE";"86,000"
"1433";"CHOC KIT KAT 41 5G FINGER BRANCO";"187,000"
"15993";"CHOC KIT KAT COCONUT 41 5G";"0,000"
"38005";"CHOC KIT KAT MACCHIATO 41 5G";"24,000"
"15995";"CHOC KIT KAT TRIPLO CHOC 41 5G";"0,000"
"1316";"CHOC LACTA 165G DIAM NEGRO";"7,000"
"1397";"CHOC NESTLE CHOKITO 32G UN";"24,000"
"1395";"CHOC NESTLE PRESTIGIO 33G UN";"17,000"
"16034";"CHOC NESTLE PRESTIGIO DARK 33G";"26,000"
"3066";"CHOCOLATE PO NESTLE 200G 2 FRADES";"35,000"
"36855";"COBERT GAROTO CONFEITARIA LEITE 1KG";"0,000"
"37090";"COBERTURA RECHEIO NESTLE 1 01KG GALAK";"0,000"
"37058";"COBERTURA RECHEIO NESTLE 1 01KG KIT KAT";"0,000"
"37057";"COBERTURA RECHEIO NESTLE 1 01KG PRESTIGIO";"0,000"
"36777";"CONS CAFE NESCAFE EM GRAOS 1KG";"0,000"
"38836";"FARELO AVEIA NESTLE OAT BRAN 170G";"28,000"
"36782";"INA CONS CAFE NESCAFE CAPPUC CAPPUC LATTE";"0,000"
"3662";"LEITE COND MOCA NESTLE LT 395G";"47,000"
"38786";"MAC INST MAGGI BECHAMEL 65G";"0,000"
"38789";"MAC INST MAGGI MACN CHEESE 65G";"213,000"
"38787";"MAC INST MAGGI TOMATE 65G";"0,000"
"36673";"OVO CHOC NESTLE CASCA AO LEITE 200G";"0,000"
"36678";"OVO CHOC NESTLE CHARGE 240G";"0,000"
