CODIGO_EMPRESA;NUMERO_ACORDO;NUMERO_PROCESSO;CODIGO_FORNECEDOR;FORNECEDOR;DESCRICAO_ACORDO;DATA_EMISSAO;COMPRADOR;STATUS_ACORDO;SITUACAO_FINANCEIRA;TIPO_ACORDO;CODIGO_PRODUTO;QTD_UTILIZADA_VERBA;DATA_FINAL_VERBA;PROXIMO_VENCIMENTO;ULTIMO_RECEBIMENTO;NUMERO_NF;NUMERO_PEDIDO_SUPRIMENTO;VALOR_ACORDO;VLR_EM_ABERTO;VLR_FIN_VENCIDO;VLR_JA_QUITADO;VALOR_SALDO_ACORDO;VALOR_UTILIZADO_PRODUTO;TOTAL_PARCELAS;PARCELAS_PAGAS;PARCELAS_PENDENTES
18;20;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;6879;2;12/07/2026;03/09/2026;;;;R$ 3,00;R$ 3,00;R$ 0,00;R$ 0,00;R$ 2,00;R$ 1,00;1;0;1
900;20;581;9973;PLASUTIL IND.COM.DE PLASTICOS LTDA;CAMAROTE GOLD 2026;06/02/2026;NUJUD;CONCLUIDO;QUITADO;VERBA EXTRA;;;;;10/07/2026;;;R$ 3.000,00;R$ 0,00;R$ 0,00;R$ 3.000,00;R$ 0,00;R$ 0,00;6;6;0
1;21;6550;15561;FUGINI ALIMENTOS LTDA;finalidade sell out;31/03/2026;NIDAL;EM ANDAMENTO;EM ABERTO;VERBA EXTRA;;;;30/04/2026;;;;R$ 661,20;R$ 661,20;R$ 661,20;R$ 0,00;R$ 0,00;R$ 0,00;1;0;1
2;21;6408;15134;NESTLE BRASIL LTDA;SELL IN;27/03/2026;WERTER;CONCLUIDO;QUITADO;VERBA EXTRA;;;;;03/06/2026;;;R$ 576,00;R$ 0,00;R$ 0,00;R$ 576,00;R$ 0,00;R$ 0,00;1;1;0
3;21;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;11596;1,026;29/03/2026;;24/07/2026;;;R$ 2,57;R$ 0,00;R$ 0,00;R$ 2,57;R$ 0,01;R$ 2,57;1;1;0
4;21;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;8639;1;12/07/2026;03/09/2026;;;;R$ 1,20;R$ 1,20;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1,20;1;0;1
5;21;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;20155;2;12/07/2026;03/09/2026;;;;R$ 2,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2,00;1;0;1
6;21;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;6878;2;12/07/2026;03/09/2026;;;;R$ 4,50;R$ 4,50;R$ 0,00;R$ 0,00;R$ 3,50;R$ 1,00;1;0;1
6;21;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;6879;7;12/07/2026;03/09/2026;;;;R$ 4,50;R$ 4,50;R$ 0,00;R$ 0,00;R$ 1,00;R$ 3,50;1;0;1
7;21;9808;6644;ONIZ DISTRIBUID LTDA SCJ;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;4176;38;05/07/2026;03/09/2026;;;;R$ 510,00;R$ 510,00;R$ 0,00;R$ 0,00;R$ 282,00;R$ 228,00;1;0;1
7;21;9808;6644;ONIZ DISTRIBUID LTDA SCJ;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;4177;30;05/07/2026;03/09/2026;;;;R$ 510,00;R$ 510,00;R$ 0,00;R$ 0,00;R$ 330,00;R$ 180,00;1;0;1
7;21;9808;6644;ONIZ DISTRIBUID LTDA SCJ;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;4178;17;05/07/2026;03/09/2026;;;;R$ 510,00;R$ 510,00;R$ 0,00;R$ 0,00;R$ 408,00;R$ 102,00;1;0;1
8;21;9808;6644;ONIZ DISTRIBUID LTDA SCJ;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;4176;18;05/07/2026;03/09/2026;;;;R$ 258,00;R$ 258,00;R$ 0,00;R$ 0,00;R$ 150,00;R$ 108,00;1;0;1
8;21;9808;6644;ONIZ DISTRIBUID LTDA SCJ;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;4177;15;05/07/2026;03/09/2026;;;;R$ 258,00;R$ 258,00;R$ 0,00;R$ 0,00;R$ 168,00;R$ 90,00;1;0;1
