CODIGO_PRODUTO;DESCRICAO_PRODUTO;QTD_INCINERADA;CODIGO_FORNECEDOR;FORNECEDOR
3124;CASTANHA DE CAJU 100G CARAMELIZADA GERGELIM;24;9648;EQUILIBRIO SAUDAVEL PROD NATURAIS EIRELI
7975;SABONETE PROTEX 85G MACADAMIA;24;15318;PODAL IND E COM DE ALIMENTOS LTDA
57;AGUA GASEIFICADA CRYSTAL PET 510ML SPARK;24;15441;SPAL IND BRAS BEBIDAS AS
3059;MOLHO ODERICH 220G ROSE;23;15520;CONSERVAS ODERICH SA
878;REFRIG FRUKI GUAR LT 350ML C BERGA ZR;23;6424;BEBIDAS FRUKI LTDA
855;REFRIG FRUKI PET 600ML GUARANA;23;6424;BEBIDAS FRUKI LTDA
17385;DET PO APYCE SH 1 6K ROSA;23;16877;UNIDASUL DISTRIBUIDORA ALIMENTICIAS E A
3478;TEMP COMINHO PO KITANO 8G;23;3528;FABIANO ZAFFALON E CIA.
3628;SAL GROSSO CBS 1KG;23;16877;UNIDASUL DISTRIBUIDORA ALIMENTICIAS E A
2054;CHA REAL MULTIERVAS 10G BOLDO;23;6364;MOINHOS UNIDOS BRASIL MATE S.A
1020;BISC AGUA E SAL ISABELA 350G;23;7995;M DIAS BRANCO S.A IND E COM DE ALIMENTOS
5275;CR DENTAL TANDY 50G MORANGO;23;15318;PODAL IND E COM DE ALIMENTOS LTDA
123;CERV BUDWEISER GF 300ML RETORNAVEL;23;9638;CRBS AS CDD PELOTAS
2369;ERVILHA OLE LT 170G;23;7715;ANGELO AURICCHIO & CIA LTDA
13;AGUA MIN CRYSTAL PET 1 5L C GAS;23;15441;SPAL IND BRAS BEBIDAS AS
2870;MOLHO BARBECUE FUGINI SH BICO 180G;23;5791;FUGINI ALIMENTOS LTDA
3558;TEMP CANELA CASCA KITANO 20G;23;3528;FABIANO ZAFFALON E CIA.
2746;FARINHA TRIGO FIDALGA 5KG;23;16900;MOINHO ESTRELA LTDA
18772;FRALDA DESC PAMPERS PANTS C 32 XG;23;6644;ONIZ DISTRIBUID LTDA SCJ
3100;MOSTARDA ODERICH PREM 250G ESCURA;23;15520;CONSERVAS ODERICH SA
8973;CERA CARNU AUTO PASTA 200G;23;6644;ONIZ DISTRIBUID LTDA SCJ
2052;CHA MULTIERVAS REAL 10G CARQUEJA;23;6364;MOINHOS UNIDOS BRASIL MATE S.A
7935;SABONETE NIVEA 85G FLOR LARANJEIRA;23;3266;NILO TOZZO DISTRIBUIDORA LTDA
13613;BOLA FUTEBOL CAMPO XH N5 SEPAK;23;17022;T.E.C. XAVIER - COMERCIO TRANSP. E SERV.
3564;BEB 3 CORACOES POWER WHEY 250ML DOCE LEITE;23;8702;CAFE TRES CORACOES S.A
6686;LAVA ROUPA ARIEL 1 2L CONCENTRADO DOWNY;23;6644;ONIZ DISTRIBUID LTDA SCJ
2381;DUETO ODERICH LT 200G ERVILHA MILHO;23;15520;CONSERVAS ODERICH SA
2872;MOLHO BARBECUE KONSUMO 200G;22;2980;KONSUMO INDUSTRIA E COMERCIO LTDA
