SEQFAMILIA;SEQFORNECEDOR;PRINCIPAL;INDREPLICACAO;INDGEROUREPLICACAO;NROSEGFORNEC;INDINDENIZAVARIA;TIPFORNECEDORFAM;PADRAOEMBCOMPRAFORNEC;CALCDESCSUFRAMAPISCOFINS;INDCONTROLAFLEX;INDMEDIDAMETADISTRIB;NROBASEEXPORTACAO;EMBPADRAOIMPXML;USUARIOALTERACAO;INDBUSCANFAUTODEVFORNEC;FATORCONVEMBXML;INDCONTROLAPRINC;INDCOBRAIPIRECEB;DATAHORAALTERACAO;INDCONSIDTIPFORNCGO;NROBASEEXPORTACAOERP
19116;3989;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.42.000000;;
14467;9973;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
14470;9973;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
14471;9973;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
14477;9973;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
14479;9973;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
14480;5009;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
14486;16099;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
14487;16099;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
14492;9537;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
14493;9973;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
14496;7194;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
14497;16099;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
14498;16099;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
14506;5009;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
14528;16099;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
14545;3989;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
14551;13115;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
14552;6757;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
14553;6757;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
14557;6757;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
14558;6757;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
