CODIGO_PRODUTO;DESCRICAO_PRODUTO;ESTOQUE_ATUAL_CD;QTD_PEDIDOS;VEZES_ATENDIDO_TOTAL;VEZES_ATENDIDO_PARCIAL;VEZES_CORTADO_CANCELADO;VEZES_EM_TRANSITO;VEZES_EM_SEPARACAO;VEZES_NAO_ATENDIDO;QTD_NFS_EMITIDAS;TOTAL_QTD_SOLICITADA;TOTAL_QTD_EXPEDIDA;ULTIMA_EXPEDICAO
12420;AMAC GOTA LIMPA 2L PETALAS;462;182;60;2;119;1;0;0;59;1698;678;03/08/2026
4220;AMAC YPE 5L ACONCHEGO;428;151;25;3;116;1;6;0;29;1536;320;03/08/2026
5679;DET LIQ GOTA LIMPA 500ML LIMAO;3816;136;20;2;114;0;0;0;21;7128;2232;03/08/2026
2365;FEIJAO VRM CALDO OURO 500G;0;113;0;0;113;0;0;0;0;1170;0;20/07/2026
3512;FERM PO BIOL GOOD INSTANT SH 10G;0;148;26;5;113;0;4;0;27;11400;4890;31/07/2026
1647;WAFER GIRASSOL 60G MORANGO;999;173;46;5;112;0;10;0;51;18650;5000;03/08/2026
17733;ESC CAB FLORENCE RETAN 600BT;5;134;0;0;111;0;23;0;0;134;0;03/08/2026
23397;SALG SNACK DOMELLY POLV 40G QJO;0;118;6;0;111;0;1;0;6;3144;144;30/07/2026
396;ENERG MONSTER LT 473ML ULTRA;0;110;0;0;110;0;0;0;0;1890;0;24/07/2026
3270;SALG KEVYTOS 55G CHURRASCO;0;116;6;0;110;0;0;0;6;4175;275;01/08/2026
17384;DET PO APYCE SH 1 6K AZUL;273;125;9;0;109;0;7;0;9;2496;260;03/08/2026
9741;LEITE SANTA CLARA LV SEMI DESN 1L;0;109;0;0;109;0;0;0;0;6972;0;22/07/2026
34564;CREME JOAO E MARIA 40G P ASSADURA;4;128;0;1;108;0;19;0;1;553;2;03/08/2026
1258;CHOC BARRA LACTA 80G SHOT;0;129;21;1;107;0;0;0;22;3128;476;31/07/2026
3827;MIST P SAGU NEILAR 150G UVA;60;119;6;1;107;0;5;0;7;1776;120;03/08/2026
33266;REFRIG FRUKI PET 3 L LARANJA;0;107;0;0;107;0;0;0;0;1196;0;23/07/2026
633;VODKA TAIGA PREMIUM VD 1L;8;119;4;0;107;0;8;0;4;147;12;03/08/2026
6694;LAVA ROUPA BRILHANTE 3L HIGIENE TOTAL;0;106;0;0;106;0;0;0;0;888;0;30/07/2026
2889;MASSA C OVOS ISABELA 500G ESPAGUETINI;400;128;15;2;106;0;5;0;17;4048;596;03/08/2026
4418;CERV SKOL BEATS RED LN 269ML MIX;156;122;12;0;103;1;6;0;13;1776;264;03/08/2026
834;REFRIG ANTARCTICA GUARANA PET 3L;480;171;56;3;103;2;7;0;56;4296;1872;03/08/2026
12417;AMAC GOTA LIMPA 2L FASCINIO;306;117;14;0;102;0;1;0;14;918;288;01/08/2026
5683;DET LIQ GOTA LIMPA 5L NEUTRO;428;124;16;2;102;1;3;0;19;600;160;03/08/2026
9288;DESINF YPE BAK 500ML FLORAL BAK;120;106;5;0;101;0;0;0;4;1404;60;24/07/2026
9594;GIRASSOL CBS 250G;360;117;4;1;101;0;11;0;5;1932;180;03/08/2026
6790;LEITE UHT NINHO 1L ZERO LACTOSE;492;149;38;0;101;0;10;0;37;3576;1500;29/07/2026
793;REFRIG COCA COLA E FANTA LARANJA 2L;0;101;0;0;101;0;0;0;0;238;0;22/07/2026
12233;ACUCAR DEMERARA GASPARIN 1KG;41;119;12;1;100;0;6;0;13;2170;490;03/08/2026
