DEPARTAMENTO;CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMPRESA;STATUS;EMBL_TRANSFERENCIA;ESTOQUE;PEDIDOS_PENDENTES;ESTOQUE_MINIMO;DATA_CADASTRO_PRODUTO;DIAS_DESDE_CADASTRO
MERCEARIA;38172;BALA STICK BRUXOLITA Q PINTA 12 3G;3;ATIVO;1;-37;0;0;20/04/2026;24
MERCEARIA;38172;BALA STICK BRUXOLITA Q PINTA 12 3G;4;ATIVO;1;0;0;0;20/04/2026;24
MERCEARIA;38172;BALA STICK BRUXOLITA Q PINTA 12 3G;5;ATIVO;1;0;0;0;20/04/2026;24
MERCEARIA;38172;BALA STICK BRUXOLITA Q PINTA 12 3G;6;ATIVO;1;0;0;0;20/04/2026;24
MERCEARIA;38172;BALA STICK BRUXOLITA Q PINTA 12 3G;7;ATIVO;1;0;0;0;20/04/2026;24
MERCEARIA;38172;BALA STICK BRUXOLITA Q PINTA 12 3G;8;ATIVO;1;0;0;0;20/04/2026;24
MERCEARIA;38172;BALA STICK BRUXOLITA Q PINTA 12 3G;11;ATIVO;1;0;0;0;20/04/2026;24
MERCEARIA;38172;BALA STICK BRUXOLITA Q PINTA 12 3G;12;ATIVO;1;0;0;0;20/04/2026;24
MERCEARIA;38172;BALA STICK BRUXOLITA Q PINTA 12 3G;13;ATIVO;1;0;0;0;20/04/2026;24
MERCEARIA;38172;BALA STICK BRUXOLITA Q PINTA 12 3G;14;ATIVO;1;0;0;0;20/04/2026;24
MERCEARIA;38172;BALA STICK BRUXOLITA Q PINTA 12 3G;15;ATIVO;1;0;0;0;20/04/2026;24
MERCEARIA;38172;BALA STICK BRUXOLITA Q PINTA 12 3G;16;ATIVO;1;0;0;0;20/04/2026;24
MERCEARIA;38172;BALA STICK BRUXOLITA Q PINTA 12 3G;17;ATIVO;1;0;0;0;20/04/2026;24
MERCEARIA;38172;BALA STICK BRUXOLITA Q PINTA 12 3G;18;ATIVO;1;0;0;0;20/04/2026;24
MERCEARIA;38172;BALA STICK BRUXOLITA Q PINTA 12 3G;50;ATIVO;1;0;0;0;20/04/2026;24
MERCEARIA;38054;BOMBOM AMOR CARIOCA 900G;1;ATIVO;300;0;0;0;13/04/2026;31
MERCEARIA;38054;BOMBOM AMOR CARIOCA 900G;2;ATIVO;300;0;0;300;13/04/2026;31
MERCEARIA;38054;BOMBOM AMOR CARIOCA 900G;3;ATIVO;300;0;0;300;13/04/2026;31
MERCEARIA;38054;BOMBOM AMOR CARIOCA 900G;4;ATIVO;300;0;0;300;13/04/2026;31
MERCEARIA;38054;BOMBOM AMOR CARIOCA 900G;5;ATIVO;300;0;0;300;13/04/2026;31
MERCEARIA;38054;BOMBOM AMOR CARIOCA 900G;6;ATIVO;300;0;0;300;13/04/2026;31
MERCEARIA;38054;BOMBOM AMOR CARIOCA 900G;7;ATIVO;300;0;0;300;13/04/2026;31
MERCEARIA;38054;BOMBOM AMOR CARIOCA 900G;8;ATIVO;300;0;0;300;13/04/2026;31
MERCEARIA;38054;BOMBOM AMOR CARIOCA 900G;11;ATIVO;300;0;0;300;13/04/2026;31
MERCEARIA;38054;BOMBOM AMOR CARIOCA 900G;12;ATIVO;300;0;0;300;13/04/2026;31
MERCEARIA;38054;BOMBOM AMOR CARIOCA 900G;13;ATIVO;300;0;0;300;13/04/2026;31
MERCEARIA;38054;BOMBOM AMOR CARIOCA 900G;14;ATIVO;300;0;0;300;13/04/2026;31
MERCEARIA;38054;BOMBOM AMOR CARIOCA 900G;15;ATIVO;300;0;0;0;13/04/2026;31
MERCEARIA;38054;BOMBOM AMOR CARIOCA 900G;16;ATIVO;300;0;0;0;13/04/2026;31
MERCEARIA;38054;BOMBOM AMOR CARIOCA 900G;17;ATIVO;300;0;0;300;13/04/2026;31
MERCEARIA;38054;BOMBOM AMOR CARIOCA 900G;18;ATIVO;300;0;0;300;13/04/2026;31
MERCEARIA;38054;BOMBOM AMOR CARIOCA 900G;50;ATIVO;300;0;0;0;13/04/2026;31
MERCEARIA;38353;CAFE SOL IGUACU GRAN CLASS VD 160G;1;ATIVO;12;0;0;0;06/05/2026;8
MERCEARIA;38353;CAFE SOL IGUACU GRAN CLASS VD 160G;2;ATIVO;12;0;0;0;06/05/2026;8
MERCEARIA;38353;CAFE SOL IGUACU GRAN CLASS VD 160G;3;ATIVO;12;0;0;0;06/05/2026;8
MERCEARIA;38353;CAFE SOL IGUACU GRAN CLASS VD 160G;4;ATIVO;12;0;0;0;06/05/2026;8
MERCEARIA;38353;CAFE SOL IGUACU GRAN CLASS VD 160G;5;ATIVO;12;0;0;0;06/05/2026;8
MERCEARIA;38353;CAFE SOL IGUACU GRAN CLASS VD 160G;6;ATIVO;12;0;0;0;06/05/2026;8
MERCEARIA;38353;CAFE SOL IGUACU GRAN CLASS VD 160G;7;ATIVO;12;0;0;0;06/05/2026;8
MERCEARIA;38353;CAFE SOL IGUACU GRAN CLASS VD 160G;8;ATIVO;12;0;0;0;06/05/2026;8
MERCEARIA;38353;CAFE SOL IGUACU GRAN CLASS VD 160G;11;ATIVO;12;0;0;0;06/05/2026;8
MERCEARIA;38353;CAFE SOL IGUACU GRAN CLASS VD 160G;12;ATIVO;12;0;0;0;06/05/2026;8
MERCEARIA;38353;CAFE SOL IGUACU GRAN CLASS VD 160G;13;ATIVO;12;0;0;0;06/05/2026;8
MERCEARIA;38353;CAFE SOL IGUACU GRAN CLASS VD 160G;14;ATIVO;12;0;0;0;06/05/2026;8
MERCEARIA;38353;CAFE SOL IGUACU GRAN CLASS VD 160G;15;ATIVO;12;0;0;0;06/05/2026;8
MERCEARIA;38353;CAFE SOL IGUACU GRAN CLASS VD 160G;16;ATIVO;12;0;0;0;06/05/2026;8
MERCEARIA;38353;CAFE SOL IGUACU GRAN CLASS VD 160G;17;ATIVO;12;0;0;0;06/05/2026;8
MERCEARIA;38353;CAFE SOL IGUACU GRAN CLASS VD 160G;18;ATIVO;12;0;0;0;06/05/2026;8
MERCEARIA;38353;CAFE SOL IGUACU GRAN CLASS VD 160G;50;ATIVO;12;0;0;0;06/05/2026;8
MERCEARIA;38352;CAFE SOL IGUACU SH 40G GTS 10PCTO CLASSICO;1;ATIVO;24;0;0;0;06/05/2026;8
