LOJA;DEPARTAMENTO;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;CUSTO_BRUTO;CUSTO_LIQUIDO;CODIGO_TRANSICAO
15;A CLASSIFICAR;37690;CONS DISCO LIMPADOR VERDE 510MM;A;0;0;17244
15;A CLASSIFICAR;34323;CONS DISPLAY DE CHAO PAPELARIA;A;0;0;1024323
15;A CLASSIFICAR;34321;CONS DISPLAY DE TABUAS BELEM;A;0;0;1024321
15;A CLASSIFICAR;34318;CONS DISPLAY FRIGI DISPL ACO CARBON;A;0;0;1024318
15;A CLASSIFICAR;34322;CONS DISPLAY PARA 3 PRATOS PORCELAN;A;0;0;1024322
15;A CLASSIFICAR;34320;CONS DISPLAY PARA BAIXELAS;A;0;0;1024320
15;A CLASSIFICAR;34319;CONS DISPLAY TALHERES P GONDOLA 1M;A;0;0;1024319
15;A CLASSIFICAR;38072;CONS DOSADOR DILUIDOR TRON DE LIQ;A;0;0;0024693
15;A CLASSIFICAR;37934;CONS EMB CRISTAL S20 C100 ROCAMB;A;0;0;7899992
15;A CLASSIFICAR;35948;CONS EMB DC650 POTE QUAD C 300;A;0;0;1000210
15;A CLASSIFICAR;35352;CONS EMB G32 P TORTA 18 5CM C50;A;0;0;0040561
15;A CLASSIFICAR;35952;CONS EMB G32 VD NESTLE TORTA 18 5CM;A;0;0;1000137
15;A CLASSIFICAR;35953;CONS EMB G50 22CM TORTA C 50;A;0;0;0097440
15;A CLASSIFICAR;35954;CONS EMB G50 NESTLE 22CM TORTA C 50;A;0;0;1000138
15;A CLASSIFICAR;35957;CONS EMB HP 51 FORMA BOLO BASE DOMO;A;0;0;7899214
15;A CLASSIFICAR;35958;CONS EMB HP 51 FORMA BOLO TAMPA BAS;A;0;0;7899366
15;A CLASSIFICAR;35357;CONS EMB PLAST GALV S10 CRISTAL L DOCE;A;,13;,12;0093281
15;A CLASSIFICAR;35980;CONS EMBALADORA FILMES ALIMENT;A;0;0;7801686
15;A CLASSIFICAR;35981;CONS EMBALAGEM PARA LIT TCD;A;0;0;7803683
15;A CLASSIFICAR;35983;CONS ENGRENAGEM FERRO CAF 98;A;0;0;1000125
15;A CLASSIFICAR;35986;CONS ENVELOPE OFICIO GRAND 230X324;A;0;0;0017321
15;A CLASSIFICAR;35987;CONS ENVELOPE OFICIO MEDIO 162X229C;A;0;0;1022284
15;A CLASSIFICAR;35988;CONS ENVELOPE OFICIO PEQUENO 162X22;A;0;0;0017329
15;A CLASSIFICAR;38071;CONS ESCOVA DE NYLON ENCERADEIRA;A;0;0;7803664
15;A CLASSIFICAR;36973;CONS ESSENCIA LAR BAUN MENT;A;0;0;7800689
15;A CLASSIFICAR;36126;CONS ETIQ 26X12 PRECO LARANJA;A;0;0;0045464
15;A CLASSIFICAR;36127;CONS ETIQ 26X16 DATA VALIDADE;A;0;0;0052515
15;A CLASSIFICAR;38343;CONS ETIQ ALMONDEGA UNIDADE;A;0;0;0102650
15;A CLASSIFICAR;37852;CONS ETIQ AUT COUCHE 100X70 16 1MT;A;0;0;
15;A CLASSIFICAR;35993;CONS ETIQ BALANCA 60X100X30M;A;8,92;7,16;0043400
15;A CLASSIFICAR;35995;CONS ETIQ BALANCA 60X140MM;A;8,92;7,71;7899498
15;A CLASSIFICAR;38345;CONS ETIQ BIFE MILANES;A;0;0;7800719
15;A CLASSIFICAR;35997;CONS ETIQ CHARQUE ALEGRETE;A;0;0;1017294
