DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;QUANTIDADE_DISPONIVEL;QTD_PEND_PEDCOMPRA;QTD_VENDIDA;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO;DATA_CADASTRO_PRODUTO
PERECIVEIS;SANDRO MARTINS VIANNA;1;4477;BOLO PULLMAN 250G CHOCOLATE;Ativo;1;1;6;26;7;0;0;26/04/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;4479;BOLO PULLMAN 250G FRAP CALIFORNIA;Ativo;1;1;6;27;7;0;0;26/04/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;4478;BOLO PULLMAN 250G GOTAS CHOCOLATE;Ativo;1;1;3;25;8;0;0;26/04/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;4480;BOLO PULLMAN 250G LARANJA;Ativo;1;1;4;23;19;0;0;26/04/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10767;BOLO SECO VO ANA 300G BAUN;Ativo;6;6;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10781;BRIOCHE MARQUESPAN CREME BAUN KG;Ativo;1;1;,472;0;,17;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10782;BRIOCHE MARQUESPAN DOCE LEITE KG;Ativo;1;1;,534;0;,25;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10790;CACAU KG;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10833;CAPA COXAO DENTRO FRIBOI VACUO KG BDJ;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;34417;CAPA FILE BOV FRIBOI 1953 RESF KG ANGUS BDJ;Ativo;1;1;0;0;0;0;0;17/10/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10837;CAPA FILE FRIBOI BOV VACUO KG BDJ;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10834;CAPA FILE FRIBOI BOV VACUO KG PORC;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;MODELO;1;10836;CAPA FILE RESERVA KG PECA;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;4557;CAPELETTI ITALIANY 250G QUEIJO CP;Ativo;1;1;8;0;8;0;0;26/04/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;36296;CAPELLETTI DITALIA CARNE 300G;Ativo;1;1;5;1;1;0;0;30/01/2026
PERECIVEIS;SANDRO MARTINS VIANNA;1;35537;CAPELLETTI DITALIA FRANGO 300G;Ativo;1;1;3;3;0;0;0;15/01/2026
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10839;CAQUI KG;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;16284;COB VEGETAL CAROLINA 1 2K;Ativo;1;6;15;6;1;0;0;20/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;29755;COBER VEGETAL TIROL 1 01K;Ativo;6;6;20;24;0;0;0;21/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;38337;COCO SECO KG CORTADO;Ativo;1;18;0;0;0;0;0;05/05/2026
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10896;CONTRA FILE FRIBOI PORC VAC KG BDJ;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10898;CONTRA FILE RESERVA BANANINHA KG BDJ;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10901;CONTRA FILE RESERVA KG BIFE;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10902;CONTRA FILE RESERVA KG BIFE LIGHT;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10877;CONTRA FILE RESERVA KG CHORIZO;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10903;CONTRA FILE RESERVA KG GRILL;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10904;CONTRA FILE RESERVA KG PEDACO;Ativo;1;1;0;0;0;0;0;11/06/2025
