CODIGO_FORNECEDOR;DESCRICAO_FORNECEDOR;COMPRADOR;PRAZO_PAGAMENTO_CADASTRO;PRAZO_MEDIO_ENTREGA_DIAS;FORMA_PAGAMENTO;FORMA_DEVOLUCAO;CONDICAO_DEVOLUCAO
8712;BRQ INDUSTRIA DE ALIMENTOS SA;WETER SONNENFELDET;30;15;Faturamento;;
15531;BUNGE ALIMENTOS S.A;NIDAL TUBASI;28;10;Faturamento;BOLETO;30 DIAS
7086;BUNGE ALIMENTOS S/A;NIDAL TUBASI;14/21/28;14;Faturamento;;
11293;BUSCHLE ALIMENTOS;NICOLAS AUGUSTO P. BORGES;28;10;Faturamento;BOLETO;30 DIAS
13779;BUSCHLE ALIMENTOS LTDA;NICOLAS AUGUSTO P. BORGES;28;10;Faturamento;BOLETO;30 DIAS
17054;BUSCHLE E LEPPER S.A.;JOAO BATISTA;35;17;Faturamento;BOLETO;30 DIAS
6451;C R DOS SANTOS - INDUSTRIAL;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
8702;CAFE TRES CORACOES S.A;MODELO;35;7;Faturamento;BOLETO;30 DIAS
8702;CAFE TRES CORACOES S.A;NICOLAS AUGUSTO P. BORGES;35;7;Faturamento;BOLETO;30 DIAS
8702;CAFE TRES CORACOES S.A;NIDAL TUBASI;35;7;Faturamento;BOLETO;30 DIAS
8702;CAFE TRES CORACOES S.A;WETER SONNENFELDET;35;7;Faturamento;BOLETO;30 DIAS
11411;CAMIL ALIMENTOS S/A;NIDAL TUBASI;28;15;Faturamento;BOLETO;30 DIAS
9057;CAMPEROTCHE IND E COM ALIMENTOS LTDA;LAURINDO BISCUBI RAMOS;30;15;Faturamento;BOLETO;30 DIAS
9057;CAMPEROTCHE IND E COM ALIMENTOS LTDA;WETER SONNENFELDET;30;15;Faturamento;BOLETO;30 DIAS
15400;CARAMURU ALIMENTOS LTDA.;NIDAL TUBASI;28;10;Faturamento;BOLETO;30 DIAS
15139;CARGIL AGRICOLA S A GOIANI;NIDAL TUBASI;30;15;Faturamento;BOLETO;30 DIAS
12054;CARGILL AGRICOLA S A;NIDAL TUBASI;28;15;Faturamento;BOLETO;30 DIAS
19459;CARGILL AGRICOLA S A;NIDAL TUBASI;30;15;Faturamento;;
15224;CARGNELUTTI & CIA LTDA;NICOLAS AUGUSTO P. BORGES;0;0;M;BOLETO;30 DIAS
9543;CARGNELUTTI COM DE GAS LTDA;MODELO;45;5;Faturamento;;
9543;CARGNELUTTI COM DE GAS LTDA;NICOLAS AUGUSTO P. BORGES;45;5;Faturamento;;
10649;CARLOS CANCIAN E CIA LTDA;NICOLAS AUGUSTO P. BORGES;21/28;5;Faturamento;BOLETO;30 DIAS
14469;CARLOS CANCIAN E CIA LTDA;NICOLAS AUGUSTO P. BORGES;21/28;5;Faturamento;BOLETO;30 DIAS
15301;CARLOS ENRIQUE WATERMANN EIRELI;NIDAL TUBASI;28;15;Faturamento;BOLETO;30 DIAS
