ORIGEM;EMPRESA;TITULO;PEDIDO;COD_FORNECEDOR;FORNECEDOR;COMPRADOR;DATA_EMISSAO;DATA_PREV_ENTREGA;PRAZO_PAGAMENTO_DIAS;PARCELA;DATA_VENCIMENTO;STATUS_PEDIDO;VALOR_NOMINAL;VALOR_PAGO;VALOR_PROJETADO
1-TITULO_REAL;6;10525/2-1;;7477;GRANJA AVICOLA PETRY LTDA;LAURINDO;03/06/2026;;28;1;01/07/2026;FATURADO;9582;9582;0
1-TITULO_REAL;8;10527/2-1;;7477;GRANJA AVICOLA PETRY LTDA;LAURINDO;03/06/2026;;28;1;01/07/2026;FATURADO;3390;3390;0
1-TITULO_REAL;2;10521/2-1;;7477;GRANJA AVICOLA PETRY LTDA;LAURINDO;03/06/2026;;28;1;01/07/2026;FATURADO;7248;7248;0
1-TITULO_REAL;12;10529/2-1;;7477;GRANJA AVICOLA PETRY LTDA;LAURINDO;03/06/2026;;28;1;01/07/2026;FATURADO;31038;31038;0
1-TITULO_REAL;4;10523/2-1;;7477;GRANJA AVICOLA PETRY LTDA;LAURINDO;03/06/2026;;28;1;01/07/2026;FATURADO;9558;9558;0
1-TITULO_REAL;13;10530/2-1;;7477;GRANJA AVICOLA PETRY LTDA;LAURINDO;03/06/2026;;28;1;01/07/2026;FATURADO;9594;9594;0
1-TITULO_REAL;4;10475/2-1;;7477;GRANJA AVICOLA PETRY LTDA;LAURINDO;31/05/2026;;31;1;01/07/2026;FATURADO;10594;10594;0
1-TITULO_REAL;3;10474/2-1;;7477;GRANJA AVICOLA PETRY LTDA;LAURINDO;31/05/2026;;31;1;01/07/2026;FATURADO;22114;22114;0
1-TITULO_REAL;2;10473/2-1;;7477;GRANJA AVICOLA PETRY LTDA;LAURINDO;31/05/2026;;31;1;01/07/2026;FATURADO;12120;12120;0
1-TITULO_REAL;5;10524/2-1;;7477;GRANJA AVICOLA PETRY LTDA;LAURINDO;03/06/2026;;28;1;01/07/2026;FATURADO;4032;4032;0
