DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;QUANTIDADE_DISPONIVEL;QTD_PEND_PEDCOMPRA;QTD_VENDIDA_30D;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;33759;ESCOVA P MAMADEIRA CABO PLASTICO;Ativo;1;1;0;8;0;0;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;9346;ESFR SANI ALL ACO 2UN;Ativo;72;72;0;72;0;24;48
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;5877;ESFREGAO ACO DIVINOX 10G;Ativo;50;50;0;100;1;38;88
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;17916;ESFREGAO ACO GOTA LIMPA;Ativo;36;36;-3;72;0;48;72
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;17990;ESM COLORAMA 40 GRAUS;Ativo;1;1;2;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;17997;ESM COLORAMA CAFE;Ativo;1;1;7;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;17998;ESM COLORAMA CHORANDO PURPURINA;Ativo;1;1;0;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;9351;ESM COLORAMA CREM 8ML BATIDA DE COCO;Ativo;1;1;6;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;9352;ESM COLORAMA CREM 8ML BLACK;Ativo;1;1;8;0;3;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;9353;ESM COLORAMA CREM 8ML CHIC PELE;Ativo;1;1;18;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;9354;ESM COLORAMA CREM 8ML FRANCA;Ativo;1;1;0;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;9355;ESM COLORAMA CREM 8ML INCOLOR;Ativo;1;1;1;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18004;ESM COLORAMA GABRIELE;Ativo;1;1;14;0;1;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18006;ESM COLORAMA LEITE COCO;Ativo;1;1;7;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18007;ESM COLORAMA MEDO NA MEDIDA CERT;Ativo;1;1;0;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18008;ESM COLORAMA MELANC;Ativo;1;1;10;0;2;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;9362;ESM COLORAMA NAT 8ML PRENDA NATURAL;Ativo;6;6;21;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18021;ESM COLORAMA PETALA BCA;Ativo;1;1;1;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18023;ESM COLORAMA ROSA QUEIMADO;Ativo;1;1;1;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18032;ESM COLORAMA VERM FURIA;Ativo;1;1;1;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18052;ESM COLORAMA VERNIZ TAP VERME;Ativo;1;1;1;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;18033;ESM COLORAMA VIA LACTEA;Ativo;1;1;1;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;5882;ESM IMPALA 7 5ML AMANTE 1;Ativo;1;1;7;0;8;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;5883;ESM IMPALA 7 5ML AMOR 4;Ativo;1;1;7;0;5;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;5884;ESM IMPALA 7 5ML AMORE 240;Ativo;1;1;1;0;6;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;5887;ESM IMPALA 7 5ML BASE 042;Ativo;1;1;4;0;12;0;0
