DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;ESTOQUE_ATUAL
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;34448;DET LIQ TIXAN GL 7L PRIMAVERA;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;17381;DET LIQ YPE POWER ACTION 3L;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;17382;DET LIQ YPE POWER ACTION 900ML;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;37636;DET LIQ YPE PRO 7L NEUTRO;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;17405;DET PO BRILHANTE HIG TOT CT 800G;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;37776;DET PO OMO LAVAGEM PERFEITA 700G;A;12;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;36805;DIFUSOR AMBIENTES MAES 45ML;A;24;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;33234;ENX BUC LISTER ZR PROMO 500ML CUIDADO TOTAL;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;33235;ENX BUC LISTER ZR PROMO 500ML MELANCIA;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;37722;ENXAG BUCAL ABOVE 1L;A;6;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;36430;ENXAG BUCAL LISTERINE CMINT LV500PG;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;5776;ESC BANHO CCA SPA;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;17718;ESC BETTANIN SANILUX C PT REF 567;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;5780;ESC BETTANIN SANITARIO 570;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;5783;ESC BETTANIN UNHAS 215;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17726;ESC CAB BONITTA BASIC;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17732;ESC CAB DIA OVAL DIAMOND;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17733;ESC CAB FLORENCE RETAN 600BT;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17741;ESC CAB M BONI OVAL PEQ;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17742;ESC CAB M BONI OVAL PEQUENA ESTAM;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17746;ESC CAB M BONI RET;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17747;ESC CAB M BONI RET MEN COR DIV;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17753;ESC CAB M BONI USO VIOLET RET;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17759;ESC CAB OVAL CERDAS MISTA BLACK WHITE;A;1;1;0
