DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO
PERECIVEIS;SANDRO MARTINS VIANNA;16;10913;CORACAO SUINO DALIA CONG KG;Ativo;1;1;0;0
PERECIVEIS;MODELO;16;30135;COSTELA BOV RESF P/GRELHA KG;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10926;COSTELA BRISTOT OVINA CONG KG;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10927;COSTELA BRISTOT OVINA CONG KG BDJ;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;30130;COSTELA FRIBOI BOV CONG TIRAS KG BDJ;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10928;COSTELA FRIBOI BOV CONG TIRAS KG PAI;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10929;COSTELA MATURATTA QUADRADA CONG;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10932;COSTELA RESE BOV CENTRO JAN RESF KG;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10937;COSTELA RESE BOV CENTRO JAN RESF KG BDJ;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10924;COSTELA RESE BOV CENTRO JAN RESF KG GRILL AN10;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10925;COSTELA RESE BOV CENTRO JAN RESF KG INTEIRA;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;11435;COSTELA RESE BOV CENTRO JAN RESF KG MATAMBRE;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;11569;COSTELA RESE BOV CENTRO JAN RESF KG OSSO;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;34571;COSTELA RESE BOV CENTRO JAN RESF KG PREMIUM AN10;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;30137;COSTELA RESE BOV CENTRO JAN RESF KG QUADRADA AN10;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;30138;COSTELA RESE BOV CENTRO JAN RESF KG RIPA AN10;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;30131;COSTELA RESERVA BOV JAN CONG KG INTEIRA;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10934;COSTELA RESERVA BOV JAN CONG KG SERRADA;Ativo;1;1;0;0
