NROEMPRESA;NUMERONF;SERIENF;TIPOTABELA;STATUSNF;NROSERIEECF;DTAEMISSAO;TIPNOTAFISCAL;VLRTOTAL;SEQPESSOA;NOMERAZAO;SEQNOTAFISCAL;NFECHAVEACESSO;INDEMISSAONF;DESCSTATUSNFE;STATUSNFE;DANFEEMITIDA;DTAIMPRESSAO;NFEAMBIENTE;NFEDTACANC;NFENROPROTCANC;NFEDTAENV;NFENROPROTENVIO;USUEMITIU;NROCARGA;INDENVIACANCELAMENTO;LINKERP;CODGERALOPER;INDLIBERADAINUTILIZACAO;APPORIGEM;INDRETORNOEVENTO;DTAVENCIMENTO;DTARECEBIMENTO;OBSERVACAOLF;TIPPEDIDOCOMPRA;NFREFERENCIANRO;NFREFERENCIASERIE;SEQNF;NUMERORPS;NUMERONFSE;NUMERONFPAINEL;MODELO;SEQPESSOATOMADORNFSE
13;130;700;N;V;;2026-03-19-00.00.00.000000;S;16,19;15209;LACTICINIOS TIROL LTDA;1090834;43260300610350001494557000000001301982570166;S;Autorizada;4;;2026-03-19-15.01.49.000000;P;;;2026-03-19-15.01.54.000000;243260090332762;KETELYNMB13;;N;5949463;802;N;22;;;;;;83604;8;2803387;;;130;55;
13;131;700;N;V;;2026-03-19-00.00.00.000000;S;110,25;6781;COOPERATIVA CENTRAL AURORA ALIMENTOS;1091029;43260300610350001494557000000001311263403823;S;Autorizada;4;;2026-03-19-15.12.26.000000;P;;;2026-03-19-15.12.11.000000;243260090353016;KETELYNMB13;;N;5949642;802;N;22;;;;;;1926635;1;2803607;;;131;55;
15;10000;700;N;V;;2026-03-19-00.00.00.000000;S;1359,58;15318;PODAL IND E COM DE ALIMENTOS LTDA;1091534;43260300610350001575557000000100001432551390;S;Autorizada;4;;2026-03-19-15.39.21.000000;P;;;2026-03-19-15.39.16.000000;243260090408198;KAALEXIA;;N;5950135;802;N;22;;;;;;;;2804088;;;10000;55;
14;207;700;N;V;;2026-03-19-00.00.00.000000;S;183,23;6997;CHURRASCARIA BRASEIRUS RIVER LTDA;1083234;43260300610350001656557000000002071229754444;S;Autorizada;4;;2026-03-19-08.38.56.000000;P;;;2026-03-19-08.39.01.000000;243260089692938;VERIDI;;N;5942079;809;N;14;;;2026-03-19-00.00.00.000000;NFCes 5/4574 3/3/2026;;4574;705;2795889;;;207;55;
14;208;700;N;V;;2026-03-19-00.00.00.000000;S;2305,6;6997;CHURRASCARIA BRASEIRUS RIVER LTDA;1083239;43260300610350001656557000000002081953163515;S;Autorizada;4;;2026-03-19-08.39.51.000000;P;;;2026-03-19-08.39.56.000000;243260089694510;VERIDI;;N;5942089;809;N;14;;;2026-03-19-00.00.00.000000;NFCes 7/8747 4/3/2026;;8747;707;2795894;;;208;55;
15;9544;700;N;V;;2026-03-18-00.00.00.000000;S;1681,52;12257;PARATI IND.COM.DE ALIMENTOS LTDA;1064089;43260300610350001575557000000095441465504381;S;Autorizada;4;;2026-03-18-09.06.17.000000;P;;;2026-03-18-09.06.17.000000;243260088088409;KAALEXIA;;N;5923291;802;N;22;;;;;;801535;16;2776574;;;9544;55;
15;9564;700;N;V;;2026-03-18-00.00.00.000000;S;1036,45;12257;PARATI IND.COM.DE ALIMENTOS LTDA;1065295;43260300610350001575557000000095641574445206;S;Autorizada;4;;2026-03-18-09.58.37.000000;P;;;2026-03-18-09.58.51.000000;243260088198170;KAALEXIA;;N;5924483;802;N;22;;;;;;801398;16;2777800;;;9564;55;
13;132;700;N;V;;2026-03-19-00.00.00.000000;S;193,35;13379;LATICINIOS CAROLINA LTDA;1091618;43260300610350001494557000000001321315594893;S;Autorizada;4;;2026-03-19-15.42.23.000000;P;;;2026-03-19-15.42.32.000000;243260090414986;KETELYNMB13;;N;5950209;802;N;22;;;;;;1039949;1;2804171;;;132;55;
18;222;700;N;V;;2026-03-18-00.00.00.000000;S;70;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;1066692;43260300610350002202557000000002221126410250;S;Autorizada;4;;2026-03-18-10.48.09.000000;P;;;2026-03-18-10.48.19.000000;243260088299193;JEREDIA;;N;5925864;802;N;39;;;;;;1099;6;2779205;;;222;55;
15;9567;700;N;V;;2026-03-18-00.00.00.000000;S;810,83;8702;CAFE TRES CORACOES S.A;1065895;43260300610350001575557000000095671440287942;S;Autorizada;4;;2026-03-18-10.20.09.000000;P;;;2026-03-18-10.20.20.000000;243260088243455;KAALEXIA;;N;5925059;802;N;22;;;;;;704643;1;2778412;;;9567;55;
15;9572;700;N;V;;2026-03-18-00.00.00.000000;S;505,51;8702;CAFE TRES CORACOES S.A;1066370;43260300610350001575557000000095721254884332;S;Autorizada;4;;2026-03-18-10.37.43.000000;P;;;2026-03-18-10.37.50.000000;243260088278056;KAALEXIA;;N;5925548;802;N;22;;;;;;;;2778883;;;9572;55;
15;9657;700;N;V;;2026-03-18-00.00.00.000000;S;2175,65;50;SUPERMERCADO BAKLIZI LTDA;1072978;43260300610350001575557000000096571757570124;S;Autorizada;4;;2026-04-10-17.13.59.000000;P;;;2026-04-10-17.14.08.000000;243260118168468;DAGUBERT;;N;5932008;801;N;39;;;;;;77;700;2785464;;;9657;55;
5;114;700;N;C;;2026-03-18-00.00.00.000000;S;101,55;14322;COOPERATIVA SANTA CLARA LTDA;1076086;43260300610350000684557000000001141650071238;S;Cancelada;7;;2026-03-18-17.46.29.000000;P;2026-03-18-17.54.34.000000;243260089055728;2026-03-18-17.46.25.000000;243260089042665;CESTRADA;;N;5935044;802;N;22;;;;;;2733617;1;2788537;;;114;55;
3;386;700;N;V;;2026-03-18-00.00.00.000000;S;70,56;6539;INDUSTRIA E COMERCIO DE MASSAS DITALIA;1071843;43260300610350000331557000000003861912133350;S;Autorizada;4;;2026-03-18-14.59.54.000000;P;;;2026-03-18-15.00.03.000000;243260088708210;EZEQUIEL;;N;5930885;802;N;22;;;;;;226378;1;2784340;;;386;55;
