SEQPRODUTO;QTDEMBALAGEM;NROSEGMENTO;NROEMPRESA;STATUSVENDA;PRECOBASENORMAL;MOTIVOPRECOBASE;PRECOGERNORMAL;PRECOGERPROMOC;MOTIVOPRECOGERADO;PRECOVALIDNORMAL;PRECOVALIDPROMOC;MOTIVOPRECOVALIDO;FAIXAGERACRFIN;FAIXAVALIDACRFIN;INDEMIETIQUETA;PROCESSOALTERACAO;INDREPLICACAO;INDGEROUREPLICACAO;PRECOINDENIZACAO;SEQLISTAPRECOGER;SEQLISTAPRECOVALID;DTAGERACAOPRECO;DTAVALIDACAOPRECO;DTABASEEXPORTACAO;CODPROMPDVGER;FATPROMPDVGER;CODPROMPDVVALID;FATPROMPDVVALID;PONTOBASENORMAL;PONTOGERNORMAL;PONTOGERPROMOC;PONTOVALIDNORMAL;PONTOVALIDPROMOC;DTAALTERACAO;USUALTERACAO;PRECOMAXCONSUMIDOR;NROBASEEXPORTACAO;INDPRECOMONIT;MGMMINNORMAL;MGMMAXNORMAL;MGMMINPROMOC;MGMMAXPROMOC;PRECOMINNORMAL;PRECOMAXNORMAL;PRECOMINPROMOC;PRECOMAXPROMOC;VLRCUSTOLIQDIAPRECIF;INDBASESUGPRECO;SEQCCACORDOASSOCPRECOBASE;SEQCCACORDOASSOCPRECOGER;SEQCCACORDOASSOCPRECOVALIDO;MARGEMLUCROPRODEMPSEG;INDREVISAOPRECO;DTAGERREVISAOPRECO;USUGERREVISAOPRECO;DTAULTREVISAOPRECO;USUREVISAOPRECO;INDETIQUETARF;DTAGERACAOPRECOPROG;PRECOGERNORMALPROG;PRECOGERPROMOCPROG;PRECOEMITIDOPROMOC;USUAPROVASTATUSVDA;DTAAPROVASTATUSVDA;DTAHORALTSTATUSVDA;DTAHORIMPORTECOMMERCE;SEQCAMPANHABASE;VLRDIFCAMPANHAPRECOBASE;SEQCAMPANHAGER;VLRDIFCAMPANHAPRECOGER;SEQCAMPANHAVALID;VLRDIFCAMPANHAPRECOVALID;DTAHORCOLETAPRECO;USUVALIDAPRECO;DATAHORAALTERACAO;QTDETIQUETA;SEQPROMOCAO;INDETIQUETAMGL;NROBASEEXPORTACAOERP
10;1;1;9;A;10,69;teste;10,69;0;teste;10,69;0;teste;A;A;N;;S;;;;;2026-08-01-03.03.38.000000;2026-08-01-03.03.38.000000;2026-08-01-03.03.38.000000;;;;;;;;;;2026-08-01-03.03.38.000000;AUTOMATICO;;5612193;;;;;;;;;;9,100268;;;;;;;;;;;;;;;-1;;;;;;;;;;;;AUTOMATICO;2026-08-24-10.17.30.000000;;;;0
10;1;1;900;A;10,69;teste;10,69;0;teste;10,69;0;teste;A;A;N;;S;;;;;2026-08-01-03.07.51.000000;2026-08-01-03.07.51.000000;2026-08-01-03.07.51.000000;;;;;;;;;;2026-08-01-03.07.51.000000;AUTOMATICO;;5612193;;;;;;;;;;9,100268;;;;;;;;;;;;;;;-1;;;;;;;;;;;;AUTOMATICO;2026-08-24-10.17.30.000000;;;;0
11;1;1;3;A;0;Zera Precos não enviados no arquivo;0;0;Zera Precos não enviados no arquivo;0;0;Zera Precos não enviados no arquivo;A;A;N;M;S;;;;;2026-07-03-11.48.23.000000;2026-01-31-16.35.31.000000;2026-07-03-11.48.23.000000;;;;;;;;;;2026-01-31-16.35.31.000000;C5Import;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C5Import;2026-07-03-11.48.23.000000;;;;0
11;1;1;50;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2026-07-03-11.48.23.000000;;2026-07-03-11.48.23.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.23.000000;;;;0
11;1;1;4;A;0;Zera Precos não enviados no arquivo;0;0;Zera Precos não enviados no arquivo;0;0;Zera Precos não enviados no arquivo;A;A;N;M;S;;;;;2026-07-03-11.48.23.000000;2026-01-31-16.35.31.000000;2026-07-03-11.48.23.000000;;;;;;;;;;2026-01-31-16.35.31.000000;C5Import;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C5Import;2026-07-03-11.48.23.000000;;;;0
11;1;1;6;A;0;Zera Precos não enviados no arquivo;0;0;Zera Precos não enviados no arquivo;0;0;Zera Precos não enviados no arquivo;A;A;N;M;S;;;;;2026-07-03-11.48.23.000000;2026-01-31-16.35.31.000000;2026-07-03-11.48.23.000000;;;;;;;;;;2026-01-31-16.35.31.000000;C5Import;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C5Import;2026-07-03-11.48.23.000000;;;;0
11;1;1;2;A;0;Zera Precos não enviados no arquivo;0;0;Zera Precos não enviados no arquivo;0;0;Zera Precos não enviados no arquivo;A;A;N;M;S;;;;;2026-07-03-11.48.23.000000;2026-01-31-16.35.31.000000;2026-07-03-11.48.23.000000;;;;;;;;;;2026-01-31-16.35.31.000000;C5Import;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C5Import;2026-07-03-11.48.23.000000;;;;0
11;1;1;17;A;0;Zera Precos não enviados no arquivo;0;0;Zera Precos não enviados no arquivo;0;0;Zera Precos não enviados no arquivo;A;A;N;M;S;;;;;2026-07-03-11.48.23.000000;2026-01-31-16.35.31.000000;2026-07-03-11.48.23.000000;;;;;;;;;;2026-01-31-16.35.31.000000;C5Import;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C5Import;2026-07-03-11.48.23.000000;;;;0
11;1;1;16;A;0;Zera Precos não enviados no arquivo;0;0;Zera Precos não enviados no arquivo;0;0;Zera Precos não enviados no arquivo;A;A;N;M;S;;;;;2026-07-03-11.48.23.000000;2026-01-31-16.35.31.000000;2026-07-03-11.48.23.000000;;;;;;;;;;2026-01-31-16.35.31.000000;C5Import;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C5Import;2026-07-03-11.48.23.000000;;;;0
11;1;1;901;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2026-07-03-11.48.23.000000;;2026-07-03-11.48.23.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.23.000000;;;;0
11;1;1;11;A;0;Zera Precos não enviados no arquivo;0;0;Zera Precos não enviados no arquivo;0;0;Zera Precos não enviados no arquivo;A;A;N;M;S;;;;;2026-07-03-11.48.23.000000;2026-01-31-16.35.31.000000;2026-07-03-11.48.23.000000;;;;;;;;;;2026-01-31-16.35.31.000000;C5Import;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C5Import;2026-07-03-11.48.23.000000;;;;0
11;1;1;902;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2026-07-03-11.48.23.000000;;2026-07-03-11.48.23.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.23.000000;;;;0
11;1;1;15;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2026-07-03-11.48.23.000000;;2026-07-03-11.48.23.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.23.000000;;;;0
11;1;1;10;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2026-07-03-11.48.23.000000;;2026-07-03-11.48.23.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.23.000000;;;;0
11;1;1;9;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2026-07-03-11.48.23.000000;;2026-07-03-11.48.23.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.23.000000;;;;0
11;1;1;12;A;0;Zera Precos não enviados no arquivo;0;0;Zera Precos não enviados no arquivo;0;0;Zera Precos não enviados no arquivo;A;A;N;M;S;;;;;2026-07-03-11.48.23.000000;2026-01-31-16.35.31.000000;2026-07-03-11.48.23.000000;;;;;;;;;;2026-01-31-16.35.31.000000;C5Import;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C5Import;2026-07-03-11.48.23.000000;;;;0
11;1;1;900;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2026-07-03-11.48.23.000000;;2026-07-03-11.48.23.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.23.000000;;;;0
12;1;1;2;A;3,79;ALTERACAO CENTRAL;3,79;0;ALTERACAO CENTRAL;3,79;0;ALTERACAO CENTRAL;A;A;N;;S;;;;;2026-07-18-03.01.47.000000;2026-07-18-03.01.47.000000;2026-07-18-03.01.47.000000;;;;;;;;;;2026-07-18-03.01.47.000000;AUTOMATICO;;5606659;;;;;;;;;;2,376;B;;;;;;;;;;N;;;;;;;;;;;;;;;;AUTOMATICO;2026-08-20-14.31.03.000000;;;N;0
12;1;1;16;A;3,79;ALTERACAO CENTRAL;3,79;0;ALTERACAO CENTRAL;3,79;0;ALTERACAO CENTRAL;A;A;N;;S;;;;;2026-07-18-03.06.32.000000;2026-07-18-03.06.32.000000;2026-07-18-03.06.32.000000;;;;;;;;;;2026-07-18-03.06.32.000000;AUTOMATICO;;5606659;;;;;;;;;;2,376;B;;;;;;;;;;;;;;;;;;;;;;;;;;AUTOMATICO;2026-08-20-14.31.03.000000;;;;0
12;1;1;901;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2026-06-11-10.23.12.000000;;2026-06-11-10.23.12.000000;;;;;;;;;;;;;5606659;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-08-20-14.31.03.000000;;;;0
