CODIGO_PRODUTO;DESCRICAO;EAN_DUN;DEPARTAMENTO;GRUPO;SUBGRUPO;NIVEL_4
4657;SAND HAVAIANAS COLOR ESSENCIAL PRETO 39/0;7909843237808;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4658;SAND HAVAIANAS COLOR ESSENCIAL PRETO 41/2;37909843237816;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4658;SAND HAVAIANAS COLOR ESSENCIAL PRETO 41/2;7909843237815;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4659;SAND HAVAIANAS COLOR ESSENCIAL PRETO 43/4;37909843237823;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4659;SAND HAVAIANAS COLOR ESSENCIAL PRETO 43/4;7909843237822;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4660;CHIN HAVAIANA KIDS ATHLETIC MARIN/MARI 27/8;7909843658566;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4661;CHIN HAVAIANA KIDS ATHLETIC MARIN/MARI 29/0;3790984365857;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4661;CHIN HAVAIANA KIDS ATHLETIC MARIN/MARI 29/0;7909843658573;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4662;CHIN HAVAIANA KIDS ATHLETIC MARIN/MARI 31/2;7909843658580;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4663;CHIN HAVAIANA SLIM BRANCO 33/4;7890732316219;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4664;CHIN HAVAIANA SLIM PRETO 33/4;7890732316462;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4665;CHIN HAVAIANA SLIM BRANCO 35/6;37890732316227;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4665;CHIN HAVAIANA SLIM BRANCO 35/6;7890732316226;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4666;CHIN HAVAIANA SLIM BRANCO 37/8;37890732316234;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4666;CHIN HAVAIANA SLIM BRANCO 37/8;7890732316233;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4667;CHIN HAVAIANA SLIM BRANCO 39/0;7890732316240;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4668;CHIN HAVAIANA SLIM PROVENCA 35/6;7909843487111;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
