Codigo_Produto;Descricao;Qtd_Lojas_Rede;Filtro_1_Apenas_3_Lojas;Filtro_2_Pequenas_Incompletas;Quais_Lojas_Ativas;Estoque_CD;Venda_Total
17450;DOCE N BONN PEZAO 1K PE MOLEQUE;13;NAO;SIM;001, 002, 003, 005, 006, 008, 011, 012, 013, 014, 015, 017, 018;0;488,0
17689;ERVA MATE SEIVA PURA M GROSSA S AC 500G;3;SIM;NAO;011, 012, 018;;43,0
17695;ERVA MATE TOMELERO 500G;3;SIM;NAO;011, 012, 018;;290,0
17696;ERVA MATE TOMELERO MOIDA GROSSA 1KG;3;SIM;NAO;011, 012, 018;;176,0
17697;ERVA MATE TOMELERO TRAD 1KG;3;SIM;NAO;011, 012, 018;;2651,0
17698;ERVA MATE TOMELERO VAC PREMIUM 1KG;3;SIM;NAO;011, 012, 018;;228,0
18735;FRALDA DESC BABYSEC ULTSEC MEGA XXG 28 UN;13;NAO;SIM;001, 002, 003, 005, 006, 008, 011, 012, 013, 014, 015, 017, 018;66;185,0
18742;FRALDA DESC FERINHA HIPER C 46 G;12;NAO;SIM;001, 002, 003, 005, 006, 008, 011, 012, 013, 015, 017, 018;18;90,0
18744;FRALDA DESC FERINHA HIPER C 60 P;3;SIM;NAO;001, 003, 015;5;8,0
18762;FRALDA DESC MILI GIGA G C 78 C 78 G;11;NAO;SIM;002, 003, 005, 006, 008, 011, 012, 013, 015, 017, 018;56;112,0
19365;INSET BUZZ OFF MULT 400ML EUCALIPTO;3;SIM;NAO;002, 015, 018;0;9,0
20322;MAC INST ISABELA 70G GAL ZR FRITURA;12;NAO;SIM;002, 003, 004, 006, 008, 011, 012, 013, 014, 015, 017, 018;4;1076,0
20691;MAS PIZZA ROMENA INTEGRAL 150G;6;NAO;SIM;003, 004, 011, 012, 014, 018;;102,0
21126;MOL TOM VAL PIZZA SH 1 7K;3;SIM;NAO;003, 011, 017;;130,0
21285;ODORIZ AMAZONIA AROMAS BABY 120ML ROSA;3;SIM;SIM;005, 007, 017;;34,0
21433;OVO CHOC ARCOR TORTUG 45G CONF;1;NAO;SIM;004;;10,0
21818;PEITORAL NYLON SIMPLES R 1;10;NAO;SIM;002, 003, 004, 006, 011, 012, 014, 015, 017, 018;0;47,0
23002;SAB FONTANA SENSUS 150G LIMA LIMAO ORI;13;NAO;SIM;002, 003, 005, 006, 007, 008, 011, 012, 013, 014, 015, 017, 018;648;3327,0
23056;SAB LIQ HEDERA RF 370ML ERVA DOCE;3;SIM;NAO;001, 003, 015;29;2,0
24323;SH GENIAL PET 2 EM 1 500ML;9;NAO;SIM;001, 003, 004, 005, 008, 014, 015, 017, 018;0;5,0
24325;SH GENIAL PET FRUL 500ML;8;NAO;SIM;002, 003, 004, 006, 011, 012, 015, 017;0;6,0
24382;SIDRA GOTA PRATA S ALCO 660ML ROSE;3;SIM;NAO;001, 003, 015;36;125,0
33972;ADITIVO RADIADOR MIL MILHAS 1L RS;11;NAO;SIM;002, 003, 005, 006, 011, 012, 013, 014, 015, 017, 018;12;118,0
34286;CHOC BIBS STICKS 29G AMOR CAR BCO;6;NAO;SIM;002, 003, 004, 012, 015, 018;0;138,0
34287;CHOC BIBS STICKS 29G AVELA;7;NAO;SIM;002, 003, 004, 012, 014, 015, 018;16;216,0
34289;CHOC BIBS STICKS 29G DARK;7;NAO;SIM;002, 003, 004, 012, 014, 015, 018;0;166,0
34772;SAB GRANADO ENXOFRE 90G;10;NAO;SIM;002, 003, 004, 011, 012, 013, 014, 015, 017, 018;156;194,0
35649;DOCE N BONN FONDANT LEITE 2KG;3;SIM;NAO;001, 003, 015;0;1,0
35782;CERV ANTARCTICA 1L;11;NAO;SIM;002, 003, 005, 006, 011, 012, 013, 014, 015, 017, 018;579;1116,0
36188;SH ELSEVE COLLAGEN LIFTER 200ML;10;NAO;SIM;002, 003, 004, 011, 012, 013, 014, 015, 017, 018;108;62,0
36239;SALG BATATA LAYS 108G SAL MARINHO;13;NAO;SIM;002, 003, 004, 005, 006, 008, 011, 012, 013, 014, 015, 017, 018;0;135,0
36367;BALA MASTIGAVEL SABORES 500G;3;SIM;NAO;001, 003, 015;0;32,0
36711;FERMENTO BIOL PO NORDESTE SH 10G;5;NAO;SIM;003, 004, 012, 014, 015;30;867,0
37606;SALG CHEETOS BOLA QJO SUICO 33G;12;NAO;SIM;002, 003, 004, 005, 006, 008, 011, 012, 013, 014, 017, 018;;569,0
37631;SALG DORITOS DINAMITA 110G PIM MEXICANA;5;NAO;SIM;002, 003, 004, 006, 014;;6,0
37755;MIST P SAGU NEILAR VINHO 150 G;11;NAO;SIM;002, 003, 004, 006, 011, 012, 013, 014, 015, 017, 018;0;0,0
37840;KIT CASA CLEAN BANHEIRO 910ML;13;NAO;SIM;002, 003, 005, 006, 007, 008, 011, 012, 013, 014, 015, 017, 018;265;24,0
37841;KIT CASA CLEAN COZINHA 910ML;13;NAO;SIM;002, 003, 005, 006, 007, 008, 011, 012, 013, 014, 015, 017, 018;300;23,0
37897;KIT ELSEVE COLAG SH 375ML CD 170ML;11;NAO;SIM;002, 003, 004, 006, 011, 012, 013, 014, 015, 017, 018;264;30,0
38001;CEREAL MAT DOMELLY DINOCRISPY A CHO;5;NAO;SIM;003, 004, 005, 006, 015;0;0,0
38200;MAM LOLLY VIVA 250ML SIL O M;2;NAO;SIM;003, 004;;0,0
