DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_CONSINCO;descricao;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;QUANTIDADE_DISPONIVEL;QTD_PEND_PEDCOMPRA;QTD_VENDIDA_30D;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO;Pedir;Estq_CD_cx
PERFUMARIA E LIMPEZA;JOAO BATISTA;11;12417;AMAC GOTA LIMPA 2L FASCINIO;Ativo;6;6;3;12;30;16;18;1;236
PERFUMARIA E LIMPEZA;JOAO BATISTA;11;12395;AMACIANTE AQUAFAST 2L VERM SED;Ativo;6;6;4;12;30;18;24;1;38
PERFUMARIA E LIMPEZA;JOAO BATISTA;11;16830;CR DENT COLGATE MPA 120G;Ativo;72;72;0;0;214;72;216;3;25,99
PERFUMARIA E LIMPEZA;JOAO BATISTA;11;17181;DESINF GOTA LIMPA 500ML LAVANDA;Ativo;12;12;4;0;12;12;22;2;97
PERFUMARIA E LIMPEZA;JOAO BATISTA;11;17371;DET LIQ TIXAN YPE POUCH 900ML PRIMAVERA;Ativo;12;12;2;0;0;12;24;2;2
PERFUMARIA E LIMPEZA;JOAO BATISTA;11;6134;FRALDA DESC LOOMPIG JUMBINHO XXG 12 UN;Ativo;8;8;0;0;0;12;14;2;40
PERFUMARIA E LIMPEZA;JOAO BATISTA;11;19378;INSET PROINSET SUPER ECONOMICO 750ML;Ativo;12;12;31;96;531;156;216;8;313
PERFUMARIA E LIMPEZA;JOAO BATISTA;11;7425;PEDRA SANITARIA SANI-SOL 20G JASMIN;Ativo;144;144;82;0;259;108;252;1;23
PERFUMARIA E LIMPEZA;JOAO BATISTA;11;36646;SAB PROTEX CARVAO DETOX C 8;Ativo;8;8;0;0;0;6;14;2;65
PERFUMARIA E LIMPEZA;JOAO BATISTA;11;7808;SABAO PO BRILHANTE 1 6KG LIMPEZA TOTAL;Ativo;9;9;6;18;120;31;49;3;4
PERFUMARIA E LIMPEZA;JOAO BATISTA;11;8052;SAPONACEO CREM GIRANDO SOL 300ML ORIGINAL;Ativo;12;12;5;0;19;10;22;2;19
BEBIDAS;NICOLAS AUGUSTO P. BORGES;12;213;CERV SKOL PILSEN LT 473ML;Ativo;12;12;3062;0;8343;3510;4566;125;5280,33
BEBIDAS;NICOLAS AUGUSTO P. BORGES;12;806;REFRIG FANTA LARANJA PET 2L;Ativo;8;8;1;200;902;680;968;96;4,5
BEBIDAS;NICOLAS AUGUSTO P. BORGES;12;769;REFRIG FRUKI GUARANA PET 200ML GUARANA;Ativo;12;12;-252;132;376;144;180;4;420,08
BEBIDAS;NICOLAS AUGUSTO P. BORGES;12;838;REFRIG FRUKI PET 3L GUARANA;Ativo;4;4;161;104;466;276;392;32;35,75
BEBIDAS;NICOLAS AUGUSTO P. BORGES;12;861;REFRIG PEPSI BLACK PET 600ML;Ativo;12;12;1;0;44;12;24;2;48
BEBIDAS;NICOLAS AUGUSTO P. BORGES;12;780;REFRIG SPRITE PET 200ML;Ativo;12;12;-17;60;246;72;96;3;9
BEBIDAS;NICOLAS AUGUSTO P. BORGES;12;832;REFRIG SUKITA PET 2L LARANJA;Ativo;8;8;1;40;130;64;88;6;51
BEBIDAS;NICOLAS AUGUSTO P. BORGES;12;833;REFRIG SUKITA PET 2L UVA;Ativo;8;8;5;24;57;32;40;1;44,88
MERCEARIA;WETER SONNENFELDET;12;2911;ACHOC LIQ ITALAC 200ML;Ativo;24;24;-24;240;540;480;600;15;1204
MERCEARIA;WETER SONNENFELDET;12;2913;ACHOC LIQ NESCAU 180ML ACTIC GO;Ativo;27;27;4;0;266;297;405;15;4
MERCEARIA;WETER SONNENFELDET;12;2909;ACHOC LIQ SHOWKINHO 200ML;Ativo;27;27;444;0;3314;595;784;13;156,56
MERCEARIA;WETER SONNENFELDET;12;3011;AVEIA FLOCOS FINOS NATURALE 1KG;Ativo;12;12;0;0;32;12;24;2;17
MERCEARIA;NIDAL TUBASI;12;949;AZEITE OLIV COCINERO EXT VIRG 500ML;Ativo;12;12;1;0;108;24;36;3;19
MERCEARIA;NIDAL TUBASI;12;35716;AZEITONA VERDE UNIAGRO 80G S CAROCO;Ativo;24;24;-28;0;41;24;48;2;4
MERCEARIA;NIDAL TUBASI;12;2331;AZEITONA VERDE VALE FERTIL SH 120G S CAROCO;Ativo;24;24;20;0;20;48;72;2;5
MERCEARIA;WETER SONNENFELDET;12;3400;BARRA CEREAL RITTER 25G BAN AVEIA MEL;Ativo;24;24;79;24;52;192;384;12;2
MERCEARIA;WETER SONNENFELDET;12;994;BISC MUCILON LANCHINHO 35G LAR BAN;Ativo;15;15;-17;30;1;31;46;1;2
MERCEARIA;WETER SONNENFELDET;12;2031;CAFE SOL 3C CAPPUCCINO SH 20G CANELA;Ativo;16;16;0;0;0;50;100;6;2,38
MERCEARIA;WETER SONNENFELDET;12;2030;CAFE SOL 3C CAPPUCCINO SH 20G CLASSIC;Ativo;16;16;1;0;22;50;100;6;19,5
MERCEARIA;WETER SONNENFELDET;12;2229;CAPSULA DOLCE GUSTO 70G C 10 LUNGO;Ativo;6;6;11;0;2;12;18;1;2
