CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMBL_TRANSFERENCIA;CODIGO_EMPRESA;NOVO_MINIMO;NOVO_MAXIMO;DIAS_RELATORIO_VENDA;VENDA_MEDIA;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO;REGRA_MINIMO;REGRA_MAXIMO;Status;QUANTIDADE_DISPONIVEL
4364;BEB LACT ELEGE 510G MORANGO COCO;12;4;10;22;90;2,27;0;0;VENDA_4_DIAS;UMA_CAIXA_ACIMA;Ativo;6
4364;BEB LACT ELEGE 510G MORANGO COCO;12;5;8;20;90;1,46;0;0;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;Ativo;590
4364;BEB LACT ELEGE 510G MORANGO COCO;12;6;8;20;90;2,0;0;0;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;Ativo;656
4364;BEB LACT ELEGE 510G MORANGO COCO;12;7;18;30;90;4,14;0;0;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;Ativo;31
4364;BEB LACT ELEGE 510G MORANGO COCO;12;8;8;20;90;1,63;0;0;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;Ativo;47
4364;BEB LACT ELEGE 510G MORANGO COCO;12;11;26;38;90;6,48;0;0;VENDA_4_DIAS;UMA_CAIXA_ACIMA;Ativo;-4
4364;BEB LACT ELEGE 510G MORANGO COCO;12;12;22;34;90;5,03;0;0;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;Ativo;12
4364;BEB LACT ELEGE 510G MORANGO COCO;12;13;10;22;90;2,2;0;0;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;Ativo;443
4364;BEB LACT ELEGE 510G MORANGO COCO;12;14;8;20;90;0,76;0;0;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;Ativo;40
4364;BEB LACT ELEGE 510G MORANGO COCO;12;17;10;22;90;2,13;0;0;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;Ativo;761
4364;BEB LACT ELEGE 510G MORANGO COCO;12;18;26;38;90;6,23;0;0;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;Ativo;1275
4374;BEB LACT STA CLARA GF 1L AMEIXA;1;2;6;10;90;1,22;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;23
4374;BEB LACT STA CLARA GF 1L AMEIXA;1;3;10;11;90;2,31;0;0;UNITARIO_PISO_6;UMA_CAIXA_ACIMA;Ativo;40
4374;BEB LACT STA CLARA GF 1L AMEIXA;1;4;6;10;90;0,98;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;30
4374;BEB LACT STA CLARA GF 1L AMEIXA;1;5;6;10;90;0,24;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;299
4374;BEB LACT STA CLARA GF 1L AMEIXA;1;6;6;10;90;1,29;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;18
4374;BEB LACT STA CLARA GF 1L AMEIXA;1;7;6;10;90;0,46;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;18
4374;BEB LACT STA CLARA GF 1L AMEIXA;1;8;6;10;90;0,47;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;43
4374;BEB LACT STA CLARA GF 1L AMEIXA;1;11;6;10;90;0,78;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;28
4374;BEB LACT STA CLARA GF 1L AMEIXA;1;12;6;10;90;0,56;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;76
4374;BEB LACT STA CLARA GF 1L AMEIXA;1;13;6;10;90;0,74;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;40
4374;BEB LACT STA CLARA GF 1L AMEIXA;1;14;6;10;90;1,11;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;30
4374;BEB LACT STA CLARA GF 1L AMEIXA;1;17;7;8;90;1,68;0;0;UNITARIO_PISO_6;UMA_CAIXA_ACIMA;Ativo;97
4374;BEB LACT STA CLARA GF 1L AMEIXA;1;18;6;10;90;0,5;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;35
4375;BEB LACT STA CLARA GF 1L COCO;1;2;6;10;90;0,92;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;8
4375;BEB LACT STA CLARA GF 1L COCO;1;3;7;8;90;1,69;0;0;UNITARIO_PISO_6;UMA_CAIXA_ACIMA;Ativo;13
4375;BEB LACT STA CLARA GF 1L COCO;1;4;6;10;90;0,67;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;27
4375;BEB LACT STA CLARA GF 1L COCO;1;6;6;10;90;1,21;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;4
4375;BEB LACT STA CLARA GF 1L COCO;1;8;6;10;90;0,26;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;47
4375;BEB LACT STA CLARA GF 1L COCO;1;11;6;10;90;1,06;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;46
4375;BEB LACT STA CLARA GF 1L COCO;1;12;6;10;90;0,64;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;32
