CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMBL_TRANSFERENCIA;CODIGO_EMPRESA;NOVO_MINIMO;NOVO_MAXIMO;REGRA_MINIMO;REGRA_MAXIMO;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO;DIAS_RELATORIO_VENDA;VENDA_MEDIA
36813;ARROZ BCO BOM DE PANELA TP1 5KG;6;12;146;200;VENDA_4_DIAS;ALTO_VOLUME_35;90;180;60;36,32
1965;BIS LACTA 100 8G AO LEITE;65;12;212;342;VENDA_4_DIAS;ALTO_VOLUME_35;131;196;60;52,97
1962;BIS LACTA 100 8G BRANCO;65;12;181;246;VENDA_4_DIAS;UMA_CAIXA_ACIMA;65;195;60;45,12
3874;BOMBOM AMOR CARIOCA 200G;30;12;82;111;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;30;60;60;20,08
3875;BOMBOM AMOR CARIOCA 200G BRANCO;30;12;62;92;VENDA_4_DIAS;UMA_CAIXA_ACIMA;22;52;60;15,47
13712;BOMBOM NESTLE ESPECIALIDADES 251G;30;12;186;275;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;54;84;60;46,05
33368;CHA BARAO PTO 13G PRE C FRUT VERM;30;12;18;48;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;3;60;60;1,13
1296;CHOC BARRA NESTLE 80G GALAK GALAK;64;12;52;115;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;40;103;60;12,62
34290;CHOC STIKADINHO STICKS 29G MORANGO;64;12;40;103;PISO_60_EMBALAGEM+PAR;UMA_CAIXA_ACIMA;12;76;60;0,23
20391;MAIONESE LIZA CASEIRA 450G;12;12;172;231;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;120;144;60;42,57
20596;MAS CASEIRA MOSMANN MULT PARAF 400G;20;12;12;32;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;6;26;60;0
2429;PEPINO CONSERVA NUTRIOURO VD 300G;15;12;99;144;VENDA_4_DIAS;ALTO_VOLUME_35;91;121;60;24,72
1962;BIS LACTA 100 8G BRANCO;65;13;74;139;VENDA_4_DIAS;UMA_CAIXA_ACIMA;65;130;60;18,38
3874;BOMBOM AMOR CARIOCA 200G;30;13;54;84;VENDA_4_DIAS;UMA_CAIXA_ACIMA;22;52;60;13,5
3876;BOMBOM AMOR CARIOCA 200G DUO;30;13;50;80;VENDA_4_DIAS;UMA_CAIXA_ACIMA;22;52;60;12,47
13712;BOMBOM NESTLE ESPECIALIDADES 251G;30;13;96;155;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;60;90;60;23,58
1962;BIS LACTA 100 8G BRANCO;65;14;87;152;VENDA_4_DIAS;UMA_CAIXA_ACIMA;57;122;60;21,6
3874;BOMBOM AMOR CARIOCA 200G;30;14;54;84;VENDA_4_DIAS;UMA_CAIXA_ACIMA;22;52;60;13,45
3875;BOMBOM AMOR CARIOCA 200G BRANCO;30;14;36;65;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;22;52;60;8,62
3876;BOMBOM AMOR CARIOCA 200G DUO;30;14;42;71;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;24;54;60;10,2
13712;BOMBOM NESTLE ESPECIALIDADES 251G;30;14;140;200;VENDA_4_DIAS;ALTO_VOLUME_35;54;84;60;34,82
37967;CHA BARAO 13G BOLDO;30;14;18;48;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;10;45;60;0
37957;CHA BARAO 13G PTO;30;14;18;48;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;10;40;60;0
3002;AVEIA FLOCOS QUAKER 165G REGULAR;28;15;234;585;PISO_60_EMBALAGEM+PAR;UMA_CAIXA_ACIMA;210;420;60;0
942;AZEITE OLIV BORGES 500ML EXT VIRG;12;15;128;294;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;114;222;60;0
2330;AZEITONA VDE V FERTIL SH 150G LIGHT;24;15;208;507;PISO_60_EMBALAGEM+PAR;UMA_CAIXA_ACIMA;192;360;60;0
1144;BALA B TOFFEES 53 CACAU TRUFA;30;15;162;432;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;135;270;60;0
1168;BALA TOFFANO MENTA 500G;24;15;176;429;PISO_60_EMBALAGEM+PAR;UMA_CAIXA_ACIMA;148;346;60;0
1153;BALA TOFFANO T FFRUT SORT 250G;40;15;336;896;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;260;550;60;0
1111;BISC CREAM CRACKER PARATI 370G;20;15;144;384;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;120;240;60;0
1047;BISC DOCE ZEZE FURA BOLO 180G CHOCOLATE;18;15;156;377;PISO_60_EMBALAGEM+PAR;UMA_CAIXA_ACIMA;144;270;60;0
1048;BISC DOCE ZEZE FURA BOLO 180G LIMAO;18;15;168;406;PISO_60_EMBALAGEM+PAR;UMA_CAIXA_ACIMA;144;270;60;0
1505;BISC ISABELA TORTINHAS 140G CHOC BCO GELEIA;50;15;390;1040;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;100;150;60;0
1404;BISC LEITE GERMANI 345G;20;15;156;416;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;130;260;60;0
1407;BISC LEITE ISABELA 350G CHOC;24;15;208;507;PISO_60_EMBALAGEM+PAR;UMA_CAIXA_ACIMA;192;372;60;0
1387;BISC NESFIT INTEG 160G CACAU E CEREAIS;48;15;390;1001;PISO_60_EMBALAGEM+PAR;UMA_CAIXA_ACIMA;336;648;60;0
1527;BISC RECH ISABELA MOUSSE 130G CHOC M AMARGO;50;15;400;1049;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;350;700;60;0
1546;BISC RECH OREO 144G ORIGINAL;28;15;234;585;PISO_60_EMBALAGEM+PAR;UMA_CAIXA_ACIMA;42;602;60;0
1483;BISC RECH PASSATEMPO 130G CHOC MOR;70;15;588;1568;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;490;945;60;0
1484;BISC RECH PASSATEMPO 130G MOR;70;15;588;1568;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;560;1120;60;0
1555;BISC SALG GERMANI TRICKS 110G CHURRASCO;30;15;234;624;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;220;450;60;0
1613;BISC SALG ISABELA 350G PIC NIC;24;15;208;507;PISO_60_EMBALAGEM+PAR;UMA_CAIXA_ACIMA;174;336;60;0
1567;BISC SALG ZEZE MIGNON 60G CHURRASCO;24;15;208;507;PISO_60_EMBALAGEM+PAR;UMA_CAIXA_ACIMA;180;384;60;0
2039;CAFE SOL 3C CAPPUCCINO PT 200G CLASSIC;24;15;192;468;PISO_60_EMBALAGEM+PAR;UMA_CAIXA_ACIMA;144;276;60;0
2071;CAFE SOL 3C LT 300G C LEITE;12;15;96;240;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;72;144;60;0
2032;CAFE SOL IGUACU CAPPUCCINO PT 200G CHOC;24;15;144;351;PISO_60_EMBALAGEM+PAR;UMA_CAIXA_ACIMA;108;216;60;0
2037;CAFE SOL NESCAFE CAPPUCCINO LT 180G CHOC 2FRADES;24;15;144;351;PISO_60_EMBALAGEM+PAR;UMA_CAIXA_ACIMA;108;216;60;0
1992;CAFE SOL NESCAFE GOLD SH 250G SUAVE;12;15;56;140;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;48;96;60;0
2009;CAFE VACUO BOM JESUS 500G EXTRA FORTE;20;15;156;416;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;140;280;60;0
2023;CAFE VACUO STARBUCKS 250G PIKE PLACE;12;15;56;140;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;42;84;60;0
3397;CALDO APTI 19G LEGUMES;216;15;1560;4152;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;1284;1752;60;0
3399;CALDO APTI 57G BACON;120;15;1008;2688;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;798;1572;60;0
3403;CALDO APTI 57G COSTELA;120;15;936;2496;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;830;1600;60;0
3402;CALDO APTI 57G LEGUMES;120;15;1008;2688;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;870;1740;60;0
3367;CALDO APTI 57G REFOGA CASEIRA;120;15;936;2496;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;840;1120;60;0
3384;CALDO GALINHA APTI 57G;120;15;1008;2688;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;1000;1270;60;0
3391;CALDO GALINHA MAGGI 114G;100;15;780;2080;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;740;1000;60;0
3386;CALDO GALINHA MAGGI 57G;150;15;1170;3120;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;980;1530;60;0
3379;CALDO MAGGI 114G CARNE;100;15;780;2080;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;620;880;60;0
3376;CALDO MAGGI 57G BACON;150;15;1170;3120;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;960;1470;60;0
3373;CALDO MAGGI 57G CARNE;150;15;1170;3120;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;940;1470;60;0
