DEPARTAMENTO;SECAO;GRUPO;SUBGRUPO;NIVEL5;NIVEL6;COMPRADOR;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS;MARGEM_OBJETIVA;VENDA_VALOR;VENDA_PROMOCAO
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;52;AGUA MIN FLORESTA PET 5L S GAS;A;20;909,03;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;52;AGUA MIN FLORESTA PET 5L S GAS;A;20;1065,36;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;52;AGUA MIN FLORESTA PET 5L S GAS;A;20;1204,32;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;52;AGUA MIN FLORESTA PET 5L S GAS;A;20;1221,69;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;52;AGUA MIN FLORESTA PET 5L S GAS;A;20;1320,12;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;52;AGUA MIN FLORESTA PET 5L S GAS;A;20;1621,2;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;52;AGUA MIN FLORESTA PET 5L S GAS;A;20;1858,59;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;52;AGUA MIN FLORESTA PET 5L S GAS;A;20;3014,55;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;52;AGUA MIN FLORESTA PET 5L S GAS;A;20;3109,23;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;52;AGUA MIN FLORESTA PET 5L S GAS;A;20;4869,39;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;52;AGUA MIN FLORESTA PET 5L S GAS;A;20;6444,27;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;53;AGUA MIN SARANDI 5L S GAS;A;20;0;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;53;AGUA MIN SARANDI 5L S GAS;A;20;287,52;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;53;AGUA MIN SARANDI 5L S GAS;A;20;347,42;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;53;AGUA MIN SARANDI 5L S GAS;A;20;437,27;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;53;AGUA MIN SARANDI 5L S GAS;A;20;766,72;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;53;AGUA MIN SARANDI 5L S GAS;A;20;826,62;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;53;AGUA MIN SARANDI 5L S GAS;A;20;838,6;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;53;AGUA MIN SARANDI 5L S GAS;A;20;940,43;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;53;AGUA MIN SARANDI 5L S GAS;A;20;1012,31;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;53;AGUA MIN SARANDI 5L S GAS;A;20;1509,48;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;53;AGUA MIN SARANDI 5L S GAS;A;20;1779,03;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;53;AGUA MIN SARANDI 5L S GAS;A;20;1792,65;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;53;AGUA MIN SARANDI 5L S GAS;A;20;3216,63;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;53;AGUA MIN SARANDI 5L S GAS;A;20;3905,48;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;36;AGUA MIN CRYSTAL PET 500ML C GAS;A;20;0;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;36;AGUA MIN CRYSTAL PET 500ML C GAS;A;20;151,99;36,57
