ORIGEM;EMPRESA;TITULO;PEDIDO;COD_FORNECEDOR;FORNECEDOR;COMPRADOR;DATA_EMISSAO;DATA_PREV_ENTREGA;PRAZO_PAGAMENTO_DIAS;PARCELA;DATA_VENCIMENTO;STATUS_PEDIDO;VALOR_PROJETADO
1-TITULO_REAL;6;2587/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;31/05/2026;;30;1;30/06/2026;FATURADO;7442
1-TITULO_REAL;17;2591/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;31/05/2026;;30;1;30/06/2026;FATURADO;4096
1-TITULO_REAL;8;2602/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;31/05/2026;;30;1;30/06/2026;FATURADO;750
1-TITULO_REAL;4;2572/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;31/05/2026;;30;1;30/06/2026;FATURADO;8188,2
1-TITULO_REAL;7;2614/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;31/05/2026;;30;1;30/06/2026;FATURADO;1275
1-TITULO_REAL;13;2607/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;31/05/2026;;30;1;30/06/2026;FATURADO;3620
1-TITULO_REAL;5;2586/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;31/05/2026;;30;1;30/06/2026;FATURADO;2911
1-TITULO_REAL;3;2571/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;31/05/2026;;30;1;30/06/2026;FATURADO;20182
1-TITULO_REAL;11;2605/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;31/05/2026;;30;1;30/06/2026;FATURADO;6802
1-TITULO_REAL;18;2595/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;31/05/2026;;30;1;30/06/2026;FATURADO;4302
1-TITULO_REAL;3;2610/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;31/05/2026;;30;1;30/06/2026;FATURADO;4250
