CODIGO_PRODUTO;EAN;DESCRICAO_PRODUTO;CODIGO_EMPRESA;EMBALAGEM_VENDA;COMPRADOR;PRECO_NORMAL;PRECO_PROMOCIONAL;PRECO_PRATICADO_DIA
13174;7896691104348;BEB LACT CAROLINA 1250G SALAD FRUT;12;1;2 - SANDRO;13,69;0;13,69
13175;7896691104515;BEB LACT CAROLINA 150G ACAI MOR;12;1;2 - SANDRO;2,39;0;2,39
13176;7896691103129;BEB LACT CAROLINA 150G COCO;12;1;2 - SANDRO;2,39;0;2,39
13177;7896691103181;BEB LACT CAROLINA 150G FRU VERM;12;1;2 - SANDRO;2,39;0;2,39
13178;7896691103174;BEB LACT CAROLINA 150G GRAVIOLA;12;1;2 - SANDRO;2,39;0;2,39
13179;7896691103112;BEB LACT CAROLINA 150G MOR;12;1;2 - SANDRO;2,39;0;2,39
13180;7896691103198;BEB LACT CAROLINA 150G SAL FRU;12;1;2 - SANDRO;2,39;0;2,39
13181;7896691104454;BEB LACT CAROLINA 360G MOR COCO;12;1;2 - SANDRO;4,99;0;4,99
13182;7896691102559;BEB LACT CAROLINA 510G MOR;12;1;2 - SANDRO;5,99;0;5,99
13183;7896691102641;BEB LACT CAROLINA 510G MOR COCO;12;1;2 - SANDRO;5,99;0;5,99
13184;7896691103419;BEB LACT CAROLINA 510G MOR SAL FRU;12;1;2 - SANDRO;5,99;0;5,99
13185;7896691103211;BEB LACT CAROLINA 800G COCO;12;1;2 - SANDRO;8,49;0;8,49
13186;7896691103235;BEB LACT CAROLINA 800G FRU VERM;12;1;2 - SANDRO;8,49;0;8,49
13187;7896691103228;BEB LACT CAROLINA 800G GRAVIOLA;12;1;2 - SANDRO;8,59;0;8,59
13188;7896691103204;BEB LACT CAROLINA 800G MOR;12;1;2 - SANDRO;8,59;0;8,59
13189;7896691103242;BEB LACT CAROLINA 800G SALAD FRUT;12;1;2 - SANDRO;8,59;0;8,59
13194;7896691103471;BEB LACT CAROLINA BIBIBITS 125G MARR;12;1;2 - SANDRO;4,59;0;4,59
13195;7896691103013;BEB LACT CAROLINA BIBIBITS 125G ROSA;12;1;2 - SANDRO;4,59;0;4,59
13196;7896691103006;BEB LACT CAROLINA BIBIBITS 125G VERM;12;1;2 - SANDRO;4,59;0;4,59
13197;7896691104539;BEB LACT CAROLINA C POLPA 150G AC GUA;12;1;2 - SANDRO;2,39;0;2,39
13198;7896691104522;BEB LACT CAROLINA C POLPA 800G AC GUA;12;1;2 - SANDRO;8,59;0;8,59
13199;7896691104508;BEB LACT CAROLINA C POLPA 800G AC MOR;12;1;2 - SANDRO;8,59;0;8,59
13200;7896691104812;BEB LACT CAROLINA KIDS C FLOC 125G;12;1;2 - SANDRO;5,89;0;5,89
13205;7896504301056;BEB LACT STA CLARA SC 1L AMEIXA;12;1;2 - SANDRO;7,59;0;7,59
13596;7896002303781;BOLO NUTRELLA ANA MARIA 35G BAUNILHA;12;1;2 - SANDRO;3,59;0;3,59
13598;7896002312066;BOL NUTRELLA ANA MARIA 45G COB PAO MEL;12;1;2 - SANDRO;3,59;0;3,59
14898;7896610904073;BROCOLIS EXCELSIOR CONG 300G;12;1;2 - SANDRO;11,99;0;11,99
15583;7896249508772;CAPELLETTI ROMENA 4 QJOS 250G;12;1;2 - SANDRO;12,59;0;12,59
15614;0619205342268;CARVAO VEG BRASA FORTE 3K;12;1;2 - SANDRO;16,89;0;16,89
15615;0040141504692;CARVAO VEG CHURRASCO NA BRASA 5KG;12;1;2 - SANDRO;28,89;0;28,89
15688;7896419720287;CEBOLA EM ANEIS LAR CONG 400G;12;1;2 - SANDRO;16,99;0;16,99
16952;78903784;CREAMY BATAVO 180G CHOC;12;1;2 - SANDRO;5,99;0;5,99
16953;0000078903791;CREAMY BATAVO 180G CHOC BCO;12;1;2 - SANDRO;5,99;0;5,99
16961;7898330160302;CUCA TCHE PAO COLONIAL 450G;12;1;2 - SANDRO;11,79;0;11,79
17555;7891164110802;EMPANADO AURORA RECH 120G;12;1;2 - SANDRO;5,99;0;5,99
17557;7891164135515;EMPANADO FGO NOBRINHO 900G;12;1;2 - SANDRO;23,89;0;23,89
17558;7891515442811;EMPANADO FGO SADIA 100G STCEFGOC;12;1;2 - SANDRO;3,49;0;3,49
17560;7891515474126;EMPANADO PERDIGAO AVE 100G CAE006;12;1;2 - SANDRO;2,49;0;2,49
17561;7891515474133;EMPANADO PERDIGAO RECH 100PRC;12;1;2 - SANDRO;5,69;0;5,69
