CODIGO_PRODUTO;DESCRICAO_PRODUTO;CODIGO_FORNECEDOR;DESCRICAO_FORNECEDOR
3320;SALG DORITOS 32G QUEIJO NACHO;10124;PEPSICO DO BRASIL LTDA
3325;SALG CHEETOS CRUNCHY 78G SUPER CHEDDAR;10124;PEPSICO DO BRASIL LTDA
3327;SALG CHEETOS CRUNCHY 78G WHITE CHEDDAR;10124;PEPSICO DO BRASIL LTDA
3329;SALG TOSTITOS 110G SAL MARINHO;10124;PEPSICO DO BRASIL LTDA
3330;SALG TOSTITOS 110G PIM MEXICANA;10124;PEPSICO DO BRASIL LTDA
3333;SALG LUA YOKITOS 135G QUEIJO;3528;FABIANO ZAFFALON E CIA.
3336;SALG REDINHA YOKITOS 135G QUEIJO;3528;FABIANO ZAFFALON E CIA.
3337;SALG DORITOS 75G QUEIJO NACHO;10124;PEPSICO DO BRASIL LTDA
3339;SALG LUA CHEETOS 125G PARMESAO;10124;PEPSICO DO BRASIL LTDA
3341;SALG LUA CHEETOS 143G PARMESAO;10124;PEPSICO DO BRASIL LTDA
3342;SALG ONDA CHEETOS 160G REQUEIJAO;10124;PEPSICO DO BRASIL LTDA
3343;SALG BOLA CHEETOS 125G QUEIJO SUICO;10124;PEPSICO DO BRASIL LTDA
3346;SALG CHEETOS 131G MIX DE QJOS;10124;PEPSICO DO BRASIL LTDA
3347;SALG FANDANGOS 160G QUEIJO;10124;PEPSICO DO BRASIL LTDA
3349;SALG DORITOS 120G QUEIJO NACHO;10124;PEPSICO DO BRASIL LTDA
3352;SALG DORITOS 140G PIZZA;10124;PEPSICO DO BRASIL LTDA
3353;SALG DORITOS 110G KETCHUP HEINZ;10124;PEPSICO DO BRASIL LTDA
3354;SALG DORITOS 110G MOSTARDA HEINZ;10124;PEPSICO DO BRASIL LTDA
3356;SALG DORITOS 210G QUEIJO NACHO;10124;PEPSICO DO BRASIL LTDA
3357;SALG ONDA CHEETOS 270G REQUEIJAO;10124;PEPSICO DO BRASIL LTDA
3359;SALG YOKITOS CONCHINHA 153G PRESUNTO;3528;FABIANO ZAFFALON E CIA.
3361;SALG YOKITOS CONCHINHA 153G QUEIJO;3528;FABIANO ZAFFALON E CIA.
3366;COCO RALADO DUCOCO 100G DESIDRATADO;7019;ORCA DISTRIBUIDORA E TRANSPORTES LTDA.
3367;CALDO APTI 57G REFOGA CASEIRA;10189;APTI ALIMENTOS LTDA
3368;COCO RALADO DUCOCO 100G FLOCOS;7019;ORCA DISTRIBUIDORA E TRANSPORTES LTDA.
3369;CALDO APTI 57G CARNE;10189;APTI ALIMENTOS LTDA
3370;COCO RALADO DUCOCO 100G UMIDO;3380;NLS ALIMENTOS LTDA
3374;COCO RALADO MENINA 100G UMIDO ADOCADO;7019;ORCA DISTRIBUIDORA E TRANSPORTES LTDA.
3377;CALDO KNORR 57G CARNE;17017;ZAFFALON E CIA LTDA
3380;CALDO KNORR 114G CARNE;17017;ZAFFALON E CIA LTDA
3382;COCO RALADO MENINA 50G UMIDO ADOCADO;7019;ORCA DISTRIBUIDORA E TRANSPORTES LTDA.
3387;COCO RALADO ZAM E BOM 50G UMIDO ADOCADO;4005;ZAM E BOM - IND E COM DE PROD ALIM LTDA
3393;COCO RALADO ZAM E BOM 100G UMIDO ADOCADO;4005;ZAM E BOM - IND E COM DE PROD ALIM LTDA
3394;CALDO GALINHA KNORR 114G;17017;ZAFFALON E CIA LTDA
3410;CALDO SAZON 32 5G CARNE;10142;KASADOCE DISTRIBUIDORA DE ALIMENTOS LTDA
3411;CREME CULINARIO DAUS TP 200G;16995;DAUS INDUSTRIA DE ALIMENTOS SA
3415;CREME LEITE ITALAC TP 200G;3075;GOIASMINAS INDUSTRIA DE LATICINIOS LTDA
3416;CREME LEITE ITALAC TP 200G ZERO LACTOSE;3075;GOIASMINAS INDUSTRIA DE LATICINIOS LTDA
3420;CALDO KNORR 57G LEGUMES;17017;ZAFFALON E CIA LTDA
3422;CALDO KNORR 57G COSTELA;17017;ZAFFALON E CIA LTDA
3424;CREME LEITE TERRA VIVA TP 200G;3022;COOPEROESTE-COOP.REG.DE COM.DO EXT.OESTE
3429;CREME CEBOLA YOKI 65G;3528;FABIANO ZAFFALON E CIA.
3430;CHOC GRAN KI KAKAU 500G CHOC;4591;KI-KAKAU IND E COM DE CHOCOLATES LTDA
3438;FLOCOS GRAN DONA JURA 500G CHOC;9739;CACAU FOODS DO BRASIL ALIMENTOS LTDA
3449;SOPAO MAGGI 200G GALINHA CAIPIRA;15134;NESTLE BRASIL LTDA
3456;SOPAO KITANO 196G FEIJ MAC BACON;3528;FABIANO ZAFFALON E CIA.
3457;SOPAO KITANO 196G GALINHA;3528;FABIANO ZAFFALON E CIA.
3460;SOPAO KITANO 196G CARNE;3528;FABIANO ZAFFALON E CIA.
3461;SOPAO KITANO 196G LEGUM MACARRAO;3528;FABIANO ZAFFALON E CIA.
3464;CHOC GRAN KI KAKAU 1 01K CHOC;4591;KI-KAKAU IND E COM DE CHOCOLATES LTDA
3467;TEMP AMACIANTE CARNE KITANO 120G;3528;FABIANO ZAFFALON E CIA.
3469;TEMP CANELA PO YOKI 8G;3528;FABIANO ZAFFALON E CIA.
3471;TEMP CANELA CASCA KITANO 8G;3528;FABIANO ZAFFALON E CIA.
3473;FLOCOS GRAN DONA JURA 1 005K CHOC;9739;CACAU FOODS DO BRASIL ALIMENTOS LTDA
3474;TEMP OREGANO KITANO 3G;3528;FABIANO ZAFFALON E CIA.
3478;TEMP COMINHO PO KITANO 8G;3528;FABIANO ZAFFALON E CIA.
3479;TEMP ERVA DOCE KITANO 8G;3528;FABIANO ZAFFALON E CIA.
3517;TEMP OREGANO TOP FEST 8G;12518;MAURICE MARTINS SORIA
3531;FERM QUIMICO PO ROYAL PT 100G;13838;TOPFLEX DISTRIBUIDOR DE ALIMENTOS
3533;TEMP FOLHA LOURO KITANO 4G;3528;FABIANO ZAFFALON E CIA.
3535;FERM QUIMICO PO ROYAL PT 250G;13838;TOPFLEX DISTRIBUIDOR DE ALIMENTOS
3538;TEMP PIMENT REINO PTA PO KITANO 15G;3528;FABIANO ZAFFALON E CIA.
3540;TEMP TOMILHO KITANO 10G;3528;FABIANO ZAFFALON E CIA.
