TABLE_NAME;COLUMN_NAME;DATA_TYPE
MOB_INTCARGAEXPEDWMS;USUINTEGRACAO;VARCHAR2
MRFV_CARGAEXPLOCAL;INDCONFERIDORF;VARCHAR2
MRFV_CARGAEXPLOCAL;QTDUNITCONFERIDA;NUMBER
MRFV_CARGAEXPLOCAL;QTDUNITCONFERIDAANTERIOR;NUMBER
MRFV_CARGAEXPLOCAL;QTDUNITCONFERIDA_RF;NUMBER
MRFV_CARGAEXPLOCAL;QTDUNITCONFRF_COMPARA;NUMBER
MRFV_CARGAEXPPRODCOD;INDCONFERIDORF;VARCHAR2
MRLV_CARGAEMATAPOIOBASE;CODGERALOPER;NUMBER
MRLV_CARGAEMATAPOIOBASE;USUINCLUSAO;VARCHAR2
MRLV_CARGAEXPPROD;DTAHORCANCELA;DATE
MRLV_CARGAEXPPROD;DTAHORFATURAMENTO;DATE
MRLV_CARGAEXPPROD;DTAHORGERACAO;DATE
MRLV_CARGAEXPPROD;QTDEMBCONFERIDA;NUMBER
MRLV_CARGAEXPPROD;QTDUNITCONFERIDA;NUMBER
MRLV_CARGAEXPPROD;USUCANCELOU;VARCHAR2
MRLV_CARGAEXPPROD;USUFATURAMENTO;VARCHAR2
MRLV_CARGAEXPPROD;USUGERACAO;VARCHAR2
MRLV_CARGAEXPPRODUTO;QTDUNITCONFERIDA;NUMBER
MRLV_PRODINVCOLETOR;DTAFABRICACAO;DATE
MRLV_PRODINVCOLETOR;DTAVALIDADE;DATE
MRLX_CARGAEXPPROD;CODUSUARIO;VARCHAR2
MRL_CARGAEMATAPOIO;USUENVIO;VARCHAR2
MRL_CARGAEXPPROD;DTAHORCONFERENCIA;DATE
MRL_CARGAEXPPROD;INDCONFERIDORF;VARCHAR2
MRL_CARGAEXPPROD;QTDCONFMESA;NUMBER
MRL_CARGAEXPPROD;QTDUNITCONFERIDA;NUMBER
MRL_CARGAEXPPROD;QTDUNITCONFERIDAANTERIOR;NUMBER
MRL_CARGAEXPPROD;QTDUNITCONFERIDA_RF;NUMBER
MRL_CARGAEXPPROD;QTDUNITCONFRF_COMPARA;NUMBER
MRL_CARGAEXPPROD;USUCONFERENCIA;VARCHAR2
MRL_CARGAEXPPRODLOTE;DTAHORCONFERENCIA;DATE
MRL_CARGAEXPPRODLOTE;QTDEMBCONFERIDA;NUMBER
MRL_CARGAEXPPRODLOTE;QTDEMBULTCONFERENCIA;NUMBER
MRL_CARGAEXPPRODLOTE;USUCONFERENCIA;VARCHAR2
MRL_CARGAEXPPROD_LOG;DTAALTERACAO;DATE
MRL_CARGAEXPPROD_LOG;DTAHORCONFERENCIA;DATE
MRL_CARGAEXPPROD_LOG;QTDUNITCONFERIDA;NUMBER
MRL_CARGAEXPPROD_LOG;QTDUNITCONFERIDAANTERIOR;NUMBER
MRL_CARGAEXPPROD_LOG;QTDUNITCONFERIDA_RF;NUMBER
MRL_CARGAEXPPROD_LOG;USUALTERACAO;VARCHAR2
MRL_CARGAEXPPROD_LOG;USUCONFERENCIA;VARCHAR2
MRL_CARGAFATCRUZADOTRANSFAGRUP;CODOPERADOR;VARCHAR2
MRL_CARGAFATCRUZADOTRANSFAGRUP;DTAEMISSAOFATX;DATE
MRL_CARGAFATCRUZADOTRANSFAGRUP;DTAVENCIMENTO;DATE
