NOME_TABELA;DESCRICAO_TABELA;QTD_LINHAS_ESTIMADA;TABLESPACE_NAME;DATA_ULTIMA_ANALISE
ABA_LALURLANCTOPARTEAPARTEB;;0;TSD_CONSINCO;2026-07-26-22.50.03.000000
ABA_LALURLANCTOPARTEAPLCTA;;0;TSD_CONSINCO;2026-08-09-22.50.54.000000
ABA_LALURLANCTOPARTEBSALDO;;0;TSD_CONSINCO;2026-07-26-22.50.03.000000
ABA_LALURLANCTOPARTEBSEMPARTEA;;0;TSD_CONSINCO;2026-07-26-22.50.04.000000
ABA_LALURLOTESINTEGRA;;0;TSD_CONSINCO;2026-08-09-22.50.54.000000
ABA_LANCAMENTO;;1904826;TSD_CONSINCO;2026-08-26-03.01.41.000000
ABA_LANCAMENTOCONTA;;4045021;TSD_CONSINCO;2026-08-26-03.02.44.000000
ABA_LANCAMENTOCONTAPARAM;;9131151;TSD_CONSINCO;2026-08-13-03.25.03.000000
ABA_LANCAMENTOIMPORTACAO;;15;TSD_CONSINCO;2026-08-07-03.00.22.000000
ABA_LANCAMENTOIMPORTACAOCONTA;;30294;TSD_CONSINCO;2026-08-07-02.59.20.000000
ABA_LANCAMENTOSTATUS;;2816399;TSD_CONSINCO;2026-08-13-03.24.20.000000
ABA_LANCIMPORTACAOCONTAPARAM;;30500;TSD_CONSINCO;2026-08-07-02.59.20.000000
ABA_LANCTODIVERGENTELOG;;0;TSD_CONSINCO;2026-07-26-22.49.40.000000
ABA_LANCTOPERIODICO;;1;TSD_CONSINCO;2026-08-09-22.51.23.000000
ABA_LANCTOPERIODICOAGENDAMENTO;;8;TSD_CONSINCO;2026-08-06-04.07.47.000000
ABA_LANCTOPERIODICOAUTOMACAO;;2;TSD_CONSINCO;2026-08-02-22.49.57.000000
ABA_LANCTOPERIODICOINTERVALO;;4;TSD_CONSINCO;2026-08-02-22.49.58.000000
ABA_LANCTOZERADOLOG;;0;TSD_CONSINCO;2026-07-26-22.49.39.000000
ABA_LOGARQUIVODIGITAL;;0;TSD_CONSINCO;2026-07-26-22.50.12.000000
ABA_LOGCONTROLELOTE;;40;TSD_CONSINCO;2026-08-23-22.49.40.000000
ABA_LOGEXECRELATORIO;;0;TSD_CONSINCO;2026-07-26-22.49.40.000000
ABA_LOGGERENCIAL;;0;TSD_CONSINCO;2026-07-26-22.49.38.000000
ABA_LOGLANCTOPERIODICO;;10;TSD_CONSINCO;2026-08-06-04.07.47.000000
ABA_LOGRELCONFDRE;;4526;TSD_CONSINCO;2026-08-19-02.24.03.000000
ABA_LOTE;;11;TSD_CONSINCO;2026-08-16-22.49.14.000000
ABA_LOTEDIARIO;;1150;TSD_CONSINCO;2026-08-22-03.28.41.000000
ABA_LOTEEMPRESA;;0;TSD_CONSINCO;2026-08-09-22.50.55.000000
ABA_LOTEPERMISSAO;;0;TSD_CONSINCO;2026-08-09-22.50.55.000000
ABA_MARCOCONTABIL;;0;TSD_CONSINCO;2026-08-09-22.50.21.000000
ABA_MARCOCONTABILCONFIG;;1;TSD_CONSINCO;2026-08-23-22.49.39.000000
ABA_MARCOCONTABILCONFIGLOG;;0;TSD_CONSINCO;2026-08-09-22.51.10.000000
ABA_MARCOCONTABILEXECLOG;;7684980;TSD_CONSINCO;2026-08-13-03.24.58.000000
