CATEGORIA;NIVELHIERARQUIA
CEREAL MUCILON;5
CEREJA;5
CEREJA CALDA;5
CEREJAS;5
CERVEJA 1 LT;5
CERVEJA 300 ML;5
CERVEJA 600 ML;5
CERVEJA LATA;5
CERVEJA LONG NECK;5
CERVEJA SEM ALCOOL;5
CERVEJAS ESPECIAIS;5
CESTA BASICA;5
CESTAS;5
CESTAS E MALETAS;5
CESTO P ROUPAS;5
CESTOS MESAS;5
CEVADA SOLUVEL E MOIDA;5
CHALEIRAS;5
CHAMPAGNE E ESPUMANTES;5
CHAMPIGNON-CAVIAR;5
CHANTILLY;5
CHAPEUS;5
CHARQUE;5
CHAS;5
CHINELOS;5
CHOCHOLATE BARRAS;5
CHOCOALATE-CHOCOLATADO PO;5
CHOCOLATE;5
CHOCOLATE BARRA ESPECIAIS;5
CHOCOLATE CASEIRO;5
CHOCOLATE CHECK OUT;5
CHOCOLATE EM PO;5
CHOCOLATE GRANULADO;5
CHOCOLATES BARRA GONDOLAS;5
CHOCOLATES ESPECIALIDADES;5
CHOPP;5
CHOPP DE VINHO;5
CHUCHU;5
CHUCRUTE;5
CHUPETAS E BICOS;5
CHURRASQUEIRAS;5
CIGARROS;5
CITRICOS;5
CJ P CHURRASCO;5
CLAREADOR DE PELOS;5
CLIPES;5
COADORES;5
COALHOS;5
COBERTORES;5
COBERTURA SORVETE;5
COBERTURAS;5
COCO;5
COCO PACOTES;5
COCO RALADO;5
COELHO CONGELADO;5
COFRES PARA DECORACAO;5
COGOMELOS E CAMPIGNON;5
COGUMELO;5
COGUMELO-CHAMPIGNON;5
COLA QUENTE E PISTOLAS;5
COLAS;5
COLCHAO INFLAVEL;5
COLCHAS;5
COLCHONETE;5
COLEIRA;5
COLETE;5
COLHER DESCARTAVEL;5
COLONIAS;5
COMEDOUROS;5
COMIDAS PRONTAS;5
COMPASSOS;5
COMPLEMENTO VITAMINICO;5
CONDICIONADOR;5
CONDICIONADOR INFANTIL;5
CONDIMENTOS;5
CONFEITOS;5
CONHAQUES;5
CONJUNTOS E ESTOJOS;5
CONSERVAS DE PEIXE;5
CONSERVAS-DOCES;5
CONTROLE REMOTO;5
CONVITE;5
COPA;5
COPA DO MUNDO;5
COPO INFANTIL;5
COPOS DESCARTAVEIS;5
COPOS E PRATOS DESCARTAVE;5
COPOS PLASTICOS;5
COPOS TERMICOS;5
COPOS VIDRO;5
CORACAO FGO 1KG;5
CORACAO FGO 700G;5
CORANTE;5
CORANTE CAFE;5
CORDA DE VARAL;5
